name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
DYNAPOL L 850,DYNAPOL L 850,,20.0,6.2,7.0,9.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DYNAPOL L 850/property/IUPACName/JSON,PENDING|haiku: composition of DYNAPOL L 850,PENDING|haiku: composition of DYNAPOL L 850,,"PENDING|brave:""DYNAPOL L 850"" manufacturer product page","PENDING|brave:""DYNAPOL L 850"" technical data sheet filetype:pdf","PENDING|brave:""DYNAPOL L 850"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PLEXAL C-34,PLEXAL C-34,,18.5,9.21,4.91,10.64,polyester resin,unsaturated or alkyd polyester (deprecated brand),material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PLEXAL C-34/property/IUPACName/JSON,Röhm/deprecated polyester or alkyd resin,Röhm/deprecated polyester or alkyd resin,PLEXAL,"PENDING|brave:""PLEXAL C-34"" manufacturer product page","PENDING|brave:""PLEXAL C-34"" technical data sheet filetype:pdf","PENDING|brave:""PLEXAL C-34"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,18.0,11.6,8.5,9.0,alkyd resin,oil-modified alkyd resin (deprecated brand),material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SOALKYD 1935-EGAX/property/IUPACName/JSON,Schering/deprecated alkyd resin,Schering/deprecated alkyd resin,EGAX,"PENDING|brave:""SOALKYD 1935-EGAX"" manufacturer product page","PENDING|brave:""SOALKYD 1935-EGAX"" technical data sheet filetype:pdf","PENDING|brave:""SOALKYD 1935-EGAX"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] composition-dependent — no single CAS,false
VESTURIT BL 908,VESTURIT BL 908,,18.8,12.0,6.0,11.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VESTURIT BL 908/property/IUPACName/JSON,PENDING|haiku: composition of VESTURIT BL 908,PENDING|haiku: composition of VESTURIT BL 908,BL,"PENDING|brave:""VESTURIT BL 908"" manufacturer product page","PENDING|brave:""VESTURIT BL 908"" technical data sheet filetype:pdf","PENDING|brave:""VESTURIT BL 908"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
VESTURIT BL 915,VESTURIT BL 915,,17.7,13.0,7.6,11.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/VESTURIT BL 915/property/IUPACName/JSON,PENDING|haiku: composition of VESTURIT BL 915,PENDING|haiku: composition of VESTURIT BL 915,BL,"PENDING|brave:""VESTURIT BL 915"" manufacturer product page","PENDING|brave:""VESTURIT BL 915"" technical data sheet filetype:pdf","PENDING|brave:""VESTURIT BL 915"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
BE 370,BE 370,,20.7,6.1,12.7,14.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BE 370/property/IUPACName/JSON,PENDING|haiku: composition of BE 370,PENDING|haiku: composition of BE 370,BE,"PENDING|brave:""BE 370"" manufacturer product page","PENDING|brave:""BE 370"" technical data sheet filetype:pdf","PENDING|brave:""BE 370"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
BEETLE 681,BEETLE 681,,22.2,-0.4,10.1,18.4,amino resin,urea-formaldehyde or melamine-formaldehyde resin,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BEETLE 681/property/IUPACName/JSON,Cytec/BIP amino resin,Cytec/BIP amino resin,BEETLE,"PENDING|brave:""BEETLE 681"" manufacturer product page","PENDING|brave:""BEETLE 681"" technical data sheet filetype:pdf","PENDING|brave:""BEETLE 681"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CYMEL 300,CYMEL 300,,19.35,12.83,12.87,9.82,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CYMEL 300/property/IUPACName/JSON,PENDING|haiku: composition of CYMEL 300,PENDING|haiku: composition of CYMEL 300,CYMEL,"PENDING|brave:""CYMEL 300"" manufacturer product page","PENDING|brave:""CYMEL 300"" technical data sheet filetype:pdf","PENDING|brave:""CYMEL 300"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CYMEL 325,CYMEL 325,,25.5,15.2,9.5,22.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CYMEL 325/property/IUPACName/JSON,PENDING|haiku: composition of CYMEL 325,PENDING|haiku: composition of CYMEL 325,CYMEL,"PENDING|brave:""CYMEL 325"" manufacturer product page","PENDING|brave:""CYMEL 325"" technical data sheet filetype:pdf","PENDING|brave:""CYMEL 325"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DYNOMIN MM 9,DYNOMIN MM 9,,18.8,14.0,12.3,10.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DYNOMIN MM 9/property/IUPACName/JSON,PENDING|haiku: composition of DYNOMIN MM 9,PENDING|haiku: composition of DYNOMIN MM 9,MM,"PENDING|brave:""DYNOMIN MM 9"" manufacturer product page","PENDING|brave:""DYNOMIN MM 9"" technical data sheet filetype:pdf","PENDING|brave:""DYNOMIN MM 9"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DYNOMIN UM 15,DYNOMIN UM 15,,19.9,15.8,13.4,11.7,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DYNOMIN UM 15/property/IUPACName/JSON,PENDING|haiku: composition of DYNOMIN UM 15,PENDING|haiku: composition of DYNOMIN UM 15,UM,"PENDING|brave:""DYNOMIN UM 15"" manufacturer product page","PENDING|brave:""DYNOMIN UM 15"" technical data sheet filetype:pdf","PENDING|brave:""DYNOMIN UM 15"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SOAMIN M 60,SOAMIN M 60,,15.9,8.1,6.5,10.6,polyamide resin,dimer acid polyamide (deprecated brand),material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SOAMIN M 60/property/IUPACName/JSON,Schering/deprecated dimer acid polyamide,Schering/deprecated dimer acid polyamide,SOAMIN,"PENDING|brave:""SOAMIN M 60"" manufacturer product page","PENDING|brave:""SOAMIN M 60"" technical data sheet filetype:pdf","PENDING|brave:""SOAMIN M 60"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SYNRESIN A 560,SYNRESIN A 560,,22.1,5.0,11.3,15.5,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SYNRESIN A 560/property/IUPACName/JSON,PENDING|haiku: composition of SYNRESIN A 560,PENDING|haiku: composition of SYNRESIN A 560,,"PENDING|brave:""SYNRESIN A 560"" manufacturer product page","PENDING|brave:""SYNRESIN A 560"" technical data sheet filetype:pdf","PENDING|brave:""SYNRESIN A 560"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PLASTOPAL H,PLASTOPAL H,,20.81,8.29,14.96,12.69,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PLASTOPAL H/property/IUPACName/JSON,PENDING|haiku: composition of PLASTOPAL H,PENDING|haiku: composition of PLASTOPAL H,,"PENDING|brave:""PLASTOPAL H"" manufacturer product page","PENDING|brave:""PLASTOPAL H"" technical data sheet filetype:pdf","PENDING|brave:""PLASTOPAL H"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
UFORMITE MX-61,UFORMITE MX-61,,22.7,2.8,5.4,16.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/UFORMITE MX-61/property/IUPACName/JSON,PENDING|haiku: composition of UFORMITE MX-61,PENDING|haiku: composition of UFORMITE MX-61,MX,"PENDING|brave:""UFORMITE MX-61"" manufacturer product page","PENDING|brave:""UFORMITE MX-61"" technical data sheet filetype:pdf","PENDING|brave:""UFORMITE MX-61"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
URACRON 15,URACRON 15,,19.2,7.7,5.7,10.6,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/URACRON 15/property/IUPACName/JSON,PENDING|haiku: composition of URACRON 15,PENDING|haiku: composition of URACRON 15,,"PENDING|brave:""URACRON 15"" manufacturer product page","PENDING|brave:""URACRON 15"" technical data sheet filetype:pdf","PENDING|brave:""URACRON 15"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PARALOID P 400,PARALOID P 400,,19.2,9.6,9.3,12.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PARALOID P 400/property/IUPACName/JSON,PENDING|haiku: composition of PARALOID P 400,PENDING|haiku: composition of PARALOID P 400,,"PENDING|brave:""PARALOID P 400"" manufacturer product page","PENDING|brave:""PARALOID P 400"" technical data sheet filetype:pdf","PENDING|brave:""PARALOID P 400"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PARALOID P 410,PARALOID P 410,,19.6,9.1,6.8,12.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PARALOID P 410/property/IUPACName/JSON,PENDING|haiku: composition of PARALOID P 410,PENDING|haiku: composition of PARALOID P 410,,"PENDING|brave:""PARALOID P 410"" manufacturer product page","PENDING|brave:""PARALOID P 410"" technical data sheet filetype:pdf","PENDING|brave:""PARALOID P 410"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PARALOID EXPER. RES. QR 954,PARALOID EXPER. RES. QR 954,,18.4,9.8,10.0,12.4,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PARALOID EXPER. RES. QR 954/property/IUPACName/JSON,PENDING|haiku: composition of PARALOID EXPER. RES. QR 954,PENDING|haiku: composition of PARALOID EXPER. RES. QR 954,EXPER; RES; QR,"PENDING|brave:""PARALOID EXPER. RES. QR 954"" manufacturer product page","PENDING|brave:""PARALOID EXPER. RES. QR 954"" technical data sheet filetype:pdf","PENDING|brave:""PARALOID EXPER. RES. QR 954"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
BAYSILON UD 125,BAYSILON UD 125,,19.4,9.9,10.1,6.9,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BAYSILON UD 125/property/IUPACName/JSON,PENDING|haiku: composition of BAYSILON UD 125,PENDING|haiku: composition of BAYSILON UD 125,UD,"PENDING|brave:""BAYSILON UD 125"" manufacturer product page","PENDING|brave:""BAYSILON UD 125"" technical data sheet filetype:pdf","PENDING|brave:""BAYSILON UD 125"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
TEFLON (SL2-),TEFLON (SL2-),,17.1,8.1,1.3,4.7,fluoropolymer,PTFE or fluoropolymer blend,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/TEFLON (SL2-)/property/IUPACName/JSON,DuPont PTFE or fluoropolymer,DuPont PTFE or fluoropolymer,TEFLON,"PENDING|brave:""TEFLON (SL2-)"" manufacturer product page","PENDING|brave:""TEFLON (SL2-)"" technical data sheet filetype:pdf","PENDING|brave:""TEFLON (SL2-)"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,20.3,15.4,5.3,15.1,thermoset,epoxy resin,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DOW EPOXY NOVOLAC 438/property/IUPACName/JSON,epoxy resin,epoxy resin,DOW; EPOXY,PENDING|wikipedia:https://en.wikipedia.org/wiki/DOW_EPOXY_NOVOLAC_438,,"PENDING|brave:""DOW EPOXY NOVOLAC 438 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] grade-dependent — no single CAS,false
DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,19.5,11.6,9.3,10.0,thermoset,epoxy resin,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DOW EPOXY NOVOLAC 444/property/IUPACName/JSON,epoxy resin,epoxy resin,DOW; EPOXY,PENDING|wikipedia:https://en.wikipedia.org/wiki/DOW_EPOXY_NOVOLAC_444,,"PENDING|brave:""DOW EPOXY NOVOLAC 444 polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] grade-dependent — no single CAS,false
ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,23.5,17.5,16.8,15.6,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/ZINK SILICATE - CHEMICAL RES./property/IUPACName/JSON,PENDING|haiku: composition of ZINK SILICATE - CHEMICAL RES.,PENDING|haiku: composition of ZINK SILICATE - CHEMICAL RES.,ZINK; RES,"PENDING|brave:""ZINK SILICATE - CHEMICAL RES."" manufacturer product page","PENDING|brave:""ZINK SILICATE - CHEMICAL RES."" technical data sheet filetype:pdf","PENDING|brave:""ZINK SILICATE - CHEMICAL RES."" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,thermoset,epoxy resin,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/2-COMP EPOXY CHEMICAL RES./property/IUPACName/JSON,epoxy resin,epoxy resin,COMP; EPOXY; RES,PENDING|wikipedia:https://en.wikipedia.org/wiki/2-COMP_EPOXY_CHEMICAL_RES.,,"PENDING|brave:""2-COMP EPOXY CHEMICAL RES. polymer"" SDS site:sigmaaldrich.com",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] grade-dependent — no single CAS,false
POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,17.0,12.1,10.2,4.1,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/POLYVINYLIDINE FLUORIDE SOL./property/IUPACName/JSON,PENDING|haiku: composition of POLYVINYLIDINE FLUORIDE SOL.,PENDING|haiku: composition of POLYVINYLIDINE FLUORIDE SOL.,SOL,"PENDING|brave:""POLYVINYLIDINE FLUORIDE SOL."" manufacturer product page","PENDING|brave:""POLYVINYLIDINE FLUORIDE SOL."" technical data sheet filetype:pdf","PENDING|brave:""POLYVINYLIDINE FLUORIDE SOL."" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,18.7,7.5,8.9,5.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/COAL TAR PITCH SOL./property/IUPACName/JSON,PENDING|haiku: composition of COAL TAR PITCH SOL.,PENDING|haiku: composition of COAL TAR PITCH SOL.,COAL; TAR; PITCH; SOL,"PENDING|brave:""COAL TAR PITCH SOL."" manufacturer product page","PENDING|brave:""COAL TAR PITCH SOL."" technical data sheet filetype:pdf","PENDING|brave:""COAL TAR PITCH SOL."" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
NITRILE 20 MIN,NITRILE 20 MIN,,17.5,7.3,6.5,5.1,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NITRILE 20 MIN/property/IUPACName/JSON,NITRILE 20 MIN (time-series condition entry),NITRILE 20 MIN (time-series condition entry),MIN,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
NITRILE 1 HR,NITRILE 1 HR,,16.6,9.1,4.4,10.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NITRILE 1 HR/property/IUPACName/JSON,PENDING|haiku: composition of NITRILE; condition: 1 HR,PENDING|haiku: composition of NITRILE; condition: 1 HR,HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
NITRILE 4 HR,NITRILE 4 HR,,19.0,12.6,3.8,13.3,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NITRILE 4 HR/property/IUPACName/JSON,PENDING|haiku: composition of NITRILE; condition: 4 HR,PENDING|haiku: composition of NITRILE; condition: 4 HR,HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
BUTYL 20 MIN,BUTYL 20 MIN,,16.5,1.0,5.1,5.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BUTYL 20 MIN/property/IUPACName/JSON,BUTYL 20 MIN (time-series condition entry),BUTYL 20 MIN (time-series condition entry),BUTYL; MIN,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
BUTYL 1 HR,BUTYL 1 HR,,15.8,-2.1,4.0,8.2,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BUTYL 1 HR/property/IUPACName/JSON,PENDING|haiku: composition of BUTYL; condition: 1 HR,PENDING|haiku: composition of BUTYL; condition: 1 HR,BUTYL; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
BUTYL  4 HR (2),BUTYL  4 HR (2),,17.6,2.1,2.1,7.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BUTYL  4 HR (2)/property/IUPACName/JSON,BUTYL  4 HR (2) (time-series condition entry),BUTYL  4 HR (2) (time-series condition entry),BUTYL; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
NATURAL RUBBER 20 MIN,NATURAL RUBBER 20 MIN,,14.5,7.3,4.5,11.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NATURAL RUBBER 20 MIN/property/IUPACName/JSON,NATURAL RUBBER 20 MIN (time-series condition entry),NATURAL RUBBER 20 MIN (time-series condition entry),RUBBER; MIN,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
NATURAL RUBBER 1 HR,NATURAL RUBBER 1 HR,,15.6,3.4,9.1,14.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NATURAL RUBBER 1 HR/property/IUPACName/JSON,PENDING|haiku: composition of NATURAL RUBBER; condition: 1 HR,PENDING|haiku: composition of NATURAL RUBBER; condition: 1 HR,RUBBER; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
NATURAL RUBBER 4 HR,NATURAL RUBBER 4 HR,,19.4,13.2,7.7,19.0,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/NATURAL RUBBER 4 HR/property/IUPACName/JSON,PENDING|haiku: composition of NATURAL RUBBER; condition: 4 HR,PENDING|haiku: composition of NATURAL RUBBER; condition: 4 HR,RUBBER; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
PVC 20 MIN,PVC 20 MIN,,16.1,7.1,5.9,9.3,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PVC 20 MIN/property/IUPACName/JSON,PVC 20 MIN (time-series condition entry),PVC 20 MIN (time-series condition entry),PVC; MIN,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
PVC 1 HR,PVC 1 HR,,14.9,11.1,3.8,13.2,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PVC 1 HR/property/IUPACName/JSON,PVC; vinyl; condition: 1 HR,PVC; vinyl; condition: 1 HR,PVC; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
PVC 4 HR,PVC 4 HR,,24.4,4.9,9.9,22.7,condition entry,time_series,time_series,experimental_condition,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PVC 4 HR/property/IUPACName/JSON,PVC; vinyl; condition: 4 HR,PVC; vinyl; condition: 4 HR,PVC; HR,,,,hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] time_series entry — CAS not assigned,true
