name,name_input,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molar_volume,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_common_all,name_acronyms,ghs_hazard,confidence,source_count,source,source_url,processing_notes
"2-Ethyl-1,3-Butadiene","2-Ethyl-1,3-Butadiene",3404-63-5,CCC(=C)C=C,C6H10,15.3,1.6,3.8,115.2,82.14,72.9,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,3-methylidenepent-1-ene,"2-Ethyl-1,3-Butadiene","2-Ethyl-1,3-Butadiene",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/18850,[REF] matched hsp_solvents_2
2-Ethyl-1-Butanol,2-Ethyl-1-Butanol,97-95-0,CCC(CC)CO,C6H14O,15.8,4.3,13.5,123.2,102.17,,,ether,Organooxygen compounds,Alcohols and polyols,2-ethylbutan-1-ol,2-Ethyl-1-Butanol,2-Ethyl-1-Butanol,,H302; H312; H226,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7358,[REF] matched hsp_solvents_2
2-Ethyl-1-Butene,2-Ethyl-1-Butene,760-21-4,CCC(=C)CC,C6H12,14.9,1.7,3.5,123.1,84.16,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,3-methylidenepentane,2-Ethyl-1-Butene,2-Ethyl-1-Butene,,H225; H304; H317; H319; H336,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12970,[REF] matched hsp_solvents_2
2-Ethyl-hexanol,2-Ethyl-hexanol,104-76-7,CCCCC(CC)CO,C8H18O,15.9,3.3,11.8,156.6,130.23,,,alcohol,Fatty Acyls,Fatty alcohols,2-ethylhexan-1-ol,2-Ethyl-Hexanol,2-Ethyl-Hexanol,,H315; H319; H332; H335; H402; H227; H336; H361; H371; H401; H312; H314,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7720,[REF] matched hsp_solvents_2
2-Ethylhexylamine,2-Ethylhexylamine,,,,15.7,4.2,6.1,163.3,,,,amine,,,,,,,,0.7,1,hsp_polymers_6,,[CAS] PubChem CID not found for: 2-Ethylhexylamine
2-Furonitrile,2-Furonitrile,617-90-3,N#Cc1occc1,C5H3NO,18.4,15.0,8.2,87.5,93.08,147.1,,nitrile,Heteroaromatic compounds,,furan-2-carbonitrile,2-Furonitrile,2-Furonitrile,,H226; H302; H312; H318; H332,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/69245,[REF] matched hsp_solvents_2
2-Methoxy Tetrahydropyrane,2-Methoxy Tetrahydropyrane,6581-66-4,COC1CCCCO1,C6H12O2,17.2,6.6,6.0,105.1,116.16,128.6,,ether,Oxanes,,2-methoxyoxane,2-Methoxy Tetrahydropyrane,2-Methoxy Tetrahydropyrane,,H226,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/23057,[REF] matched hsp_solvents_2
"2-Methoxy-1,3-Dioxolane","2-Methoxy-1,3-Dioxolane",19693-75-5,COC1OCCO1,C4H8O3,17.8,8.4,7.7,95.3,104.1,129.6,,ether,Organooxygen compounds,Ortho esters,"2-methoxy-1,3-dioxolane","2-Methoxy-1,3-Dioxolane","2-Methoxy-1,3-Dioxolane",,H226,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/29744,[REF] matched hsp_solvents_2
2-Methyl (cis) Acrylic Acid,2-Methyl (cis) Acrylic Acid,503-64-0,,,16.8,5.2,12.4,83.9,,,,acid,Carboxylic acids and derivatives,Carboxylic acids,(Z)-but-2-enoic acid,2-Methyl (Cis) Acrylic Acid,2-Methyl (Cis) Acrylic Acid,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 2-Methyl (cis) Acrylic Acid
2-Methyl Cyclohexanone,2-Methyl Cyclohexanone,583-60-8,CC1CCCCC1=O,C7H12O,17.6,6.3,4.7,121.3,112.17,162.6,,ether,Organooxygen compounds,Carbonyl compounds,2-methylcyclohexan-1-one,2-Methyl Cyclohexanone,2-Methyl Cyclohexanone,,H226; H332; H302; H312; H319; H335; H336,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11419,[REF] matched hsp_solvents_2
2-Methyl Pyrazine,2-Methyl Pyrazine,109-08-0,Cc1cnccn1,C5H6N2,18.3,12.3,10.5,91.4,94.11,135.7,,heterocyclic,Diazines,Pyrazines,2-methylpyrazine,2-Methyl Pyrazine,2-Methyl Pyrazine,,H226; H302,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7976,[REF] matched hsp_solvents_2
2-Methyl Tetrahydrofuran,2-Methyl Tetrahydrofuran,96-47-9,CC1CCCO1,C5H10O,16.9,5.0,4.3,100.2,86.13,,,ether,Tetrahydrofurans,,2-methyloxolane,2-Methyl Tetrahydrofuran,2-Methyl Tetrahydrofuran; THF,THF,H225; H302; H315; H318; H319; H335; H336; H314,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7301,[REF] matched hsp_solvents_2
"2-Methyl-1,3-Dioxolane","2-Methyl-1,3-Dioxolane",497-26-7,CC1OCCO1,C4H8O2,17.3,4.8,5.8,89.8,88.11,82.6,,ether,Dioxolanes,"1,3-dioxolanes","2-methyl-1,3-dioxolane","2-Methyl-1,3-Dioxolane","2-Methyl-1,3-Dioxolane",,H225; H319,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10342,[REF] matched hsp_solvents_2
2-Methyl-1-Butanol,2-Methyl-1-Butanol,137-32-6,CCC(C)CO,C5H12O,16.0,5.1,14.3,109.5,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,2-methylbutan-1-ol,2-Methyl-1-Butanol,2-Methyl-1-Butanol,,H226; H315; H318; H332; H335; H319,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/8723,[REF] matched hsp_solvents_2
2-Methyl-1-Butene,2-Methyl-1-Butene,563-46-2,CCC(C)=C,C5H10,14.2,1.8,2.3,108.7,70.13,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,2-methylbut-1-ene,2-Methyl-1-Butene,2-Methyl-1-Butene,,H224; H225; H302; H304; H315; H336; H341; H351; H411; H319; H332; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11240,[REF] matched hsp_solvents_2
2-Methyl-1-Chloro Acrolein,2-Methyl-1-Chloro Acrolein,53175-28-3,CC(=C)C(Cl)=O,C4H5ClO,17.1,10.6,7.3,91.7,104.53,,,halogenated,Acyl halides,Acyl chlorides,(Z)-2-chlorobut-2-enal,2-Methyl-1-Chloro Acrolein,2-Methyl-1-Chloro Acrolein,,H226; H301; H311; H315; H318; H330; H335; H400,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/5355510,[REF] matched hsp_solvents_2
2-Methyl-1-Propanol,2-Methyl-1-Propanol,,,,15.1,5.7,15.9,92.8,,,,alcohol,,,,,,,,0.7,1,hsp_polymers_6,,[CAS] PubChem CID not found for: 2-Methyl-1-Propanol
2-Methyl-2-Butanol,2-Methyl-2-Butanol,75-85-4,CCC(C)(C)O,C5H12O,15.3,6.1,13.3,109.6,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,2-methylbutan-2-ol,2-Methyl-2-Butanol,2-Methyl-2-Butanol,,H225; H315; H332; H335; H312; H318; H336; H302; H319; H370,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6405,[REF] matched hsp_solvents_2
2-Methyl-2-Butene,2-Methyl-2-Butene,513-35-9,CC=C(C)C,C5H10,14.3,2.0,3.9,106.7,70.13,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,2-methylbut-2-ene,2-Methyl-2-Butene,2-Methyl-2-Butene,,H224; H225; H302; H304; H315; H336; H341; H350; H351; H411,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10553,[REF] matched hsp_solvents_2
2-Methylfuran,2-Methylfuran,534-22-5,Cc1occc1,C5H6O,17.3,2.8,7.4,89.7,82.1,,,ether,Heteroaromatic compounds,,2-methylfuran,2-Methylfuran,2-Methylfuran,,H225; H301; H319; H330; H331; H411,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10797,[REF] matched hsp_solvents_2
2-Nitropropane,2-Nitropropane,79-46-9,CC(C)[N+]([O-])=O,C3H7NO2,16.2,12.1,4.1,86.9,89.09,120.4,,hydrocarbon,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,2-nitropropane,2-Nitropropane,2-Nitropropane,,H226; H302; H332; H350; H331; H341; H412; H320; H330; H336; H370; H372; H373; H351,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/398,[REF] matched hsp_solvents_2
2-Nitrothiophene,2-Nitrothiophene,609-40-5,[O-][N+](=O)c1sccc1,C4H3NO2S,19.7,16.2,8.2,94.6,129.14,224.6,,nitro,Thiophenes,Nitrothiophenes,2-nitrothiophene,2-Nitrothiophene,2-Nitrothiophene,,H302; H312; H332; H341,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11866,[REF] matched hsp_solvents_2
2-Octanol,2-Octanol,123-96-6,CCCCCCC(C)O,C8H18O,16.1,4.9,11.0,159.1,130.23,,,alcohol,Fatty Acyls,Fatty alcohols,octan-2-ol,2-Octanol,2-Octanol,,H315; H318; H319; H226; H411; H227; H305; H316; H335; H402; H412,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/20083,[REF] matched hsp_solvents_2
2-Pentanol,2-Pentanol,6032-29-7,CCCC(C)O,C5H12O,15.6,6.4,13.3,109.6,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,pentan-2-ol,2-Pentanol,2-Pentanol,,H226; H332; H335; H315; H319,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/22386,[REF] matched hsp_solvents_2
2-Phenoxy Ethanol,2-Phenoxy Ethanol,122-99-6,OCCOc1ccccc1,C8H10O2,17.8,5.7,14.3,124.7,138.16,245.1,,alcohol,Phenol ethers,,2-phenoxyethanol,2-Phenoxy Ethanol,2-Phenoxy Ethanol,,H302; H318; H335; H319; H336; H320; H361,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/31236,[REF] matched hsp_solvents_2
2-Pinene (dl),2-Pinene (dl),80-56-8,,,16.9,1.8,3.1,159.5,,,,terpene,Prenol lipids,Monoterpenoids,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",2-Pinene (dl),2-Pinene (dl),,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 2-Pinene (dl)
2-Propanethiol,2-Propanethiol,75-33-2,CC(C)S,C3H8S,16.3,6.8,6.5,94.1,76.16,,,hydrocarbon,Thiols,Alkylthiols,propane-2-thiol,2-Propanethiol,2-Propanethiol,,H225; H302; H315; H319; H331,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6364,[REF] matched hsp_solvents_2
2-Propanol,2-Propanol,67-63-0,CC(C)O,C3H8O,15.8,6.1,16.4,76.8,60.1,,,ether,Organooxygen compounds,Alcohols and polyols,propan-2-ol,2-Propanol,2-Propanol; IPA; iPrOH,IPA; iPrOH,H225; H319; H336; H318; H373; H400; H410; H335; H361; H370; H372; H303; H305; H313,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/3776,[REF] matched hsp_solvents_2
2-Pyrrolidone,2-Pyrrolidone,616-45-5,O=C1CCCN1,C4H7NO,19.4,17.4,11.3,76.4,85.1,245.1,,amide,Pyrrolidines,Pyrrolidones,pyrrolidin-2-one,2-Pyrrolidone,2-Pyrrolidone,,H315; H318; H319; H335; H360,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12025,[REF] matched hsp_solvents_2
2-Thiabutane,2-Thiabutane,624-89-5,CCSC,C3H8S,16.2,5.9,5.3,90.4,76.16,66.7,,hydrocarbon,Thioethers,Dialkylthioethers,methylsulfanylethane,2-Thiabutane,2-Thiabutane,,H225; H315,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12230,[REF] matched hsp_solvents_2
2-Toluidine,2-Toluidine,95-53-4,Cc1ccccc1N,C7H9N,19.4,5.8,9.4,107.8,107.15,,,aromatic,Benzene and substituted derivatives,Toluenes,2-methylaniline,2-Toluidine,2-Toluidine,,H301; H319; H331; H350; H400; H312; H315; H341; H411; H227; H302; H332; H336; H370; H372; H410; H313; H316; H340; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7242,[REF] matched hsp_solvents_2
2-Vinyl Toluene,2-Vinyl Toluene,611-15-4,Cc1ccccc1C=C,C9H10,18.6,1.0,3.8,131.8,118.18,160.0,,aromatic,Benzene and substituted derivatives,Styrenes,1-ethenyl-2-methylbenzene,2-Vinyl Toluene,2-Vinyl Toluene,,H332; H411; H226; H304; H315; H319; H400; H401,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11904,[REF] matched hsp_solvents_2
"3,3,3-Trichloro Propene","3,3,3-Trichloro Propene",2233-00-3,ClC(Cl)(Cl)C=C,C3H3Cl3,17.7,15.5,3.4,106.2,145.41,,,halogenated,Organochlorides,,"3,3,3-trichloroprop-1-ene","3,3,3-Trichloro Propene","3,3,3-Trichloro Propene",,H226; H302; H312; H315; H319; H332; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/16690,[REF] matched hsp_solvents_2
"3,4-Dichloro α,α,α-Trifluorotoluen","3,4-Dichloro α,α,α-Trifluorotoluen",,,,20.0,4.7,2.4,145.5,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 3,4-Dichloro α,α,α-Trifluorotoluen"
"3,4-Dichloronitrobenzene","3,4-Dichloronitrobenzene",99-54-7,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,C6H3Cl2NO2,20.1,7.2,4.1,130.6,192.0,255.6,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,2-dichloro-4-nitrobenzene","3,4-Dichloronitrobenzene","3,4-Dichloronitrobenzene",,H302; H317; H319; H411; H336; H361; H372; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7443,[REF] matched hsp_solvents_2
"3,4-Dichlorophenyl Acetonitrile","3,4-Dichlorophenyl Acetonitrile",3218-49-3,Clc1ccc(CC#N)cc1Cl,C8H5Cl2N,20.5,10.8,4.4,148.8,186.03,,,aromatic,Benzene and substituted derivatives,Benzyl cyanides,"2-(3,4-dichlorophenyl)acetonitrile","3,4-Dichlorophenyl Acetonitrile","3,4-Dichlorophenyl Acetonitrile; MeCN; ACN",MeCN; ACN,H301; H302; H311; H312; H315; H319; H331; H332; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/76690,[REF] matched hsp_solvents_2
"3,4-Dichlorotoluene","3,4-Dichlorotoluene",95-75-0,,,19.8,9.8,2.5,128.7,,,,halogenated,Benzene and substituted derivatives,Halobenzenes,"3,4-dichlorotoluene","3,4-Dichlorotoluene","3,4-Dichlorotoluene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3,4-Dichlorotoluene"
"3,4-Dimethyl Phenol","3,4-Dimethyl Phenol",95-65-8,,,19.2,6.0,13.4,121.0,,,,alcohol,Phenols,Cresols,"3,4-dimethyl phenol","3,4-Dimethyl Phenol","3,4-Dimethyl Phenol",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3,4-Dimethyl Phenol"
"3,4-Dinitrophenol","3,4-Dinitrophenol",577-71-9,,,19.5,12.8,14.3,110.1,,,,alcohol,Phenols,Nitrophenols,"3,4-dinitrophenol","3,4-Dinitrophenol","3,4-Dinitrophenol",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3,4-Dinitrophenol"
"3,4-Epoxy-1-Butene","3,4-Epoxy-1-Butene",930-22-3,,,16.6,7.7,7.4,80.7,,,,hydrocarbon,Epoxides,,"3,4-epoxy-1-butene","3,4-Epoxy-1-Butene","3,4-Epoxy-1-Butene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3,4-Epoxy-1-Butene"
"3,5-Difluorobenzonitril","3,5-Difluorobenzonitril",,,,18.8,11.2,3.2,111.6,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 3,5-Difluorobenzonitril"
"3,5-Dinitrophenol","3,5-Dinitrophenol",586-11-8,,,19.5,12.9,14.4,108.2,,,,alcohol,Phenols,Nitrophenols,"3,5-dinitrophenol","3,5-Dinitrophenol","3,5-Dinitrophenol",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3,5-Dinitrophenol"
3-Azidopropene,3-Azidopropene,821-13-6,,,16.8,7.7,13.4,83.0,,,,hydrocarbon,"Allyl-type 1,3-dipolar organic compounds",Azo imides,3-azidopropene,3-Azidopropene,3-Azidopropene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Azidopropene
3-Bromopropyne,3-Bromopropyne,106-96-7,,,18.1,6.5,5.3,75.3,,,,halogenated,,,3-bromopropyne,3-Bromopropyne,3-Bromopropyne,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Bromopropyne
3-Butenenitrile,3-Butenenitrile,109-75-1,,,16.2,14.3,5.6,80.5,,,,nitrile,Organonitrogen compounds,Organic cyanides,3-butenenitrile,3-Butenenitrile,3-Butenenitrile,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Butenenitrile
3-Butoxybutanol,3-Butoxybutanol,,,,15.9,5.5,10.6,166.3,,,,alcohol,,,3-butoxybutanol,3-Butoxybutanol,3-Butoxybutanol,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Butoxybutanol
3-Chloro Allyl Alcohol,3-Chloro Allyl Alcohol,29560-84-7,,,17.2,10.3,16.5,78.6,,,,alcohol,Vinyl halides,Vinyl chlorides,3-chloro allyl alcohol,3-Chloro Allyl Alcohol,3-Chloro Allyl Alcohol,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloro Allyl Alcohol
3-Chloro-1-Propanol,3-Chloro-1-Propanol,627-30-5,,,17.5,5.7,14.7,84.2,,,,alcohol,,,3-chloro-1-propanol,3-Chloro-1-Propanol,3-Chloro-1-Propanol,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloro-1-Propanol
3-Chloro-2-Methyl Propene,3-Chloro-2-Methyl Propene,563-47-3,,,16.2,5.6,2.0,98.8,,,,halogenated,,,3-chloro-2-methyl propene,3-Chloro-2-Methyl Propene,3-Chloro-2-Methyl Propene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloro-2-Methyl Propene
3-Chlorobenzylchloride,3-Chlorobenzylchloride,620-20-2,,,19.9,9.3,2.6,117.7,,,,halogenated,Benzene and substituted derivatives,Benzyl halides,3-chlorobenzylchloride,3-Chlorobenzylchloride,3-Chlorobenzylchloride,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chlorobenzylchloride
3-Chloropropionaldehyde,3-Chloropropionaldehyde,19434-65-2,,,17.0,13.3,8.2,73.0,,,,halogenated,,,3-chloropropionaldehyde,3-Chloropropionaldehyde,3-Chloropropionaldehyde,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloropropionaldehyde
3-Chloropropionitrile,3-Chloropropionitrile,542-76-7,,,17.3,15.9,6.1,77.4,,,,nitrile,Organonitrogen compounds,Organic cyanides,3-chloropropionitrile,3-Chloropropionitrile,3-Chloropropionitrile,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloropropionitrile
3-Chloropropyne,3-Chloropropyne,624-65-7,,,16.7,7.4,2.3,72.4,,,,halogenated,,,3-chloropropyne,3-Chloropropyne,3-Chloropropyne,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Chloropropyne
3-Ethoxy Propionaldehyde,3-Ethoxy Propionaldehyde,2806-85-1,,,16.0,8.8,7.4,112.1,,,,aldehyde,,,3-ethoxy propionaldehyde,3-Ethoxy Propionaldehyde,3-Ethoxy Propionaldehyde,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Ethoxy Propionaldehyde
3-Hydroxy Tetrahydrofuran,3-Hydroxy Tetrahydrofuran,453-20-3,,,18.9,9.4,16.3,80.0,,,,ether,Tetrahydrofurans,,3-hydroxy tetrahydrofuran,3-Hydroxy Tetrahydrofuran,3-Hydroxy Tetrahydrofuran; THF,THF,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Hydroxy Tetrahydrofuran
3-Methoxypropionitrile,3-Methoxypropionitrile,110-67-8,,,16.6,14.4,7.8,91.1,,,,nitrile,,,3-methoxypropionitrile,3-Methoxypropionitrile,3-Methoxypropionitrile,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methoxypropionitrile
3-Methyl Allyl Alcohol,3-Methyl Allyl Alcohol,504-61-0,,,16.0,6.0,15.5,84.4,,,,alcohol,Organooxygen compounds,Alcohols and polyols,3-methyl allyl alcohol,3-Methyl Allyl Alcohol,3-Methyl Allyl Alcohol,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methyl Allyl Alcohol
3-Methyl Cyclohexanone,3-Methyl Cyclohexanone,591-24-2,,,17.7,6.3,4.7,122.5,,,,ketone,Organooxygen compounds,Carbonyl compounds,3-methyl cyclohexanone,3-Methyl Cyclohexanone,3-Methyl Cyclohexanone,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methyl Cyclohexanone
3-Methyl Isoxazole,3-Methyl Isoxazole,30842-90-1,,,19.4,14.8,11.8,57.7,,,,heterocyclic,Azoles,Isoxazoles,3-methyl isoxazole,3-Methyl Isoxazole,3-Methyl Isoxazole,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methyl Isoxazole
"3-Methyl-1,2-Butadiene","3-Methyl-1,2-Butadiene",598-25-4,,,15.1,2.5,4.5,99.7,,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,"3-methyl-1,2-butadiene","3-Methyl-1,2-Butadiene","3-Methyl-1,2-Butadiene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methyl-1,2-Butadiene"
3-Methyl-1-Butene,3-Methyl-1-Butene,563-45-1,,,14.0,1.4,3.8,112.9,,,,hydrocarbon,Unsaturated hydrocarbons,Unsaturated aliphatic hydrocarbons,3-methyl-1-butene,3-Methyl-1-Butene,3-Methyl-1-Butene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Methyl-1-Butene
3-n-Butyl Toluene,3-n-Butyl Toluene,1595-04-6,,,17.4,0.1,1.0,173.7,,,,aromatic,Benzene and substituted derivatives,Toluenes,3-n-butyl toluene,3-n-Butyl Toluene,3-n-Butyl Toluene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-n-Butyl Toluene
3-Nitroaniline,3-Nitroaniline,99-09-2,,,21.2,18.7,10.3,96.1,,,,amine,,,3-nitroaniline,3-Nitroaniline,3-Nitroaniline,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 3-Nitroaniline
4-(Trifluoromet yl) Acetophenone,4-(Trifluoromet yl) Acetophenone,,,,18.8,6.1,3.5,151.7,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,[CAS] PubChem CID not found for: 4-(Trifluoromet yl) Acetophenone
"4-Bromo-1,2-Butadiene","4-Bromo-1,2-Butadiene",18668-68-3,,,17.0,6.5,4.7,93.3,,,,halogenated,Organobromides,,"4-bromo-1,2-butadiene","4-Bromo-1,2-Butadiene","4-Bromo-1,2-Butadiene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Bromo-1,2-Butadiene"
4-Bromo-1-Butene,4-Bromo-1-Butene,5162-44-7,,,16.5,6.0,4.5,102.0,,,,halogenated,Organobromides,,4-bromo-1-butene,4-Bromo-1-Butene,4-Bromo-1-Butene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Bromo-1-Butene
"4-Chloro-1,2-Butadiene","4-Chloro-1,2-Butadiene",25790-55-0,,,16.6,8.0,6.7,89.5,,,,halogenated,,,"4-chloro-1,2-butadiene","4-Chloro-1,2-Butadiene","4-Chloro-1,2-Butadiene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Chloro-1,2-Butadiene"
4-Chloro-2-Nitrotoluene,4-Chloro-2-Nitrotoluene,89-59-8,,,19.9,11.8,3.8,132.0,,,,nitro,Benzene and substituted derivatives,Nitrobenzenes,4-chloro-2-nitrotoluene,4-Chloro-2-Nitrotoluene,4-Chloro-2-Nitrotoluene,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Chloro-2-Nitrotoluene
4-Chloroanisole,4-Chloroanisole,623-12-1,,,19.6,7.8,6.7,122.5,,,,ether,Phenol ethers,Anisoles,4-chloroanisole,4-Chloroanisole,4-Chloroanisole,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Chloroanisole
4-Chlorobenzaldehyde,4-Chlorobenzaldehyde,104-88-1,,,19.9,7.2,5.6,113.4,,,,halogenated,Benzene and substituted derivatives,Benzoyl derivatives,4-chlorobenzaldehyde,4-Chlorobenzaldehyde,4-Chlorobenzaldehyde,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Chlorobenzaldehyde
4-Chlorobenzonitrile,4-Chlorobenzonitrile,623-03-0,,,19.5,8.0,4.1,125.1,,,,nitrile,Benzene and substituted derivatives,Benzonitriles,4-chlorobenzonitrile,4-Chlorobenzonitrile,4-Chlorobenzonitrile,,,0.7,1,hsp_polymers_6,,[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 4-Chlorobenzonitrile
