no,solvent_name,autonom_acd_name,dispersion,polarity,hydrogen_bonding,molar_volume
773,Dibutyl Fumarate,(E)-But-2-enedioic acid O dibutyl ester,16.7,3.0,6.7,232.7
199,Di-p-Tolyl Sulfoxide,1-Methyl-4-[(4- benzene,20.3,11.4,3.1,209.0
204,Di-(2-Chloro-Isopropyl) Ether,1-Chloro-2-(2-chloro-1- methyl-ethoxy)- CH3 CH3 propane,19.0,8.2,5.1,146.0
235,Di-(2-Chloroethyl) Ether,1-Chloro-2-(2-chloro-ethoxy)-ethane,18.8,9.0,5.7,117.2
1139,Di-(2-Ethyl Hexyl)azelate,Nonanedioic acid bis- O O (2-ethyl-hexyl) ester,16.7,1.4,4.8,449.9
1138,Di-(2-Ethyl Hexyl)sebacate,Decanedioic acid bis- CH3 (2-ethyl-hexyl) ester,16.8,1.0,4.7,468.7
202,Di-(2-Methoxyethyl) Ether,1-Methoxy-2- (2-methoxy-ethoxy)-,15.7,6.1,6.5,142.0
205,Di-2-Ethyl Hexyl Amine,Bis-(2-ethyl-hexyl)- amine,15.6,0.8,3.2,301.5
736,Di-2-Ethyl Hexyl Ether,3-(2-Ethyl- hexyloxymethyl)-,15.9,2.6,2.5,300.5
208,Di-Isobutyl Carbinol,"2,6-Dimethyl-heptan-",14.9,3.1,10.8,177.8
203,Di-Isobutyl Ketone,"2,6-Dimethyl-heptan-",16.0,3.7,4.1,177.1
845,Di-Isobutyl Sulfoxide,2-Methyl-1-(2-methyl- propane-1-sulfi yl)-,16.3,10.5,6.1,195.0
279,Di-Isodecyl Phthalate,Phthalic acid bis-(8- H3C CH3 methyl-nonyl) ester,16.6,6.2,2.6,464.2
280,Di-Isoheptyl Phthalate,Phthalic acid bis-(5- O CH3 methyl-hexyl) ester,16.8,7.2,3.4,364.9
281,Di-Isononyl Adipate,Hexanedioic acid bis-(7- O CH3 methyl-octyl) ester,16.2,1.8,4.9,433.7
282,Di-Isononyl Phthalate,Phthalic acid bis-(7- O CH3 methyl-octyl) ester,16.6,6.6,2.9,432.4
840,Di-Isopropyl Methyl Phosphonate,Methyl-phosphonic acid,16.4,10.0,5.7,184.4
842,Di-Isopropyl Phosphonofluoridat,Phosphorofluoridic acid,15.7,10.2,5.9,174.5
198,Di-Isopropyl Sulfoxide,2-(Propane-2-sulfi yl)- propane,17.0,11.5,7.4,159.9
219,Di-n-Butyl Ether,1-Butoxy-butane,15.2,3.4,4.2,170.3
200,Di-n-Butyl Sulfoxide,1-(Butane-1-sulfi yl)- butane,16.4,10.5,6.1,195.0
957,Di-n-Pentyl Ether,1-Pentyloxy-pentane,15.6,3.1,3.0,203.2
956,Di-n-Propyl Ether,1-Propoxy-propane,15.1,4.2,3.7,137.7
201,Di-n-Propyl Sulfoxide,1-(Propane-1-sulfi yl)- propane,17.0,13.0,7.4,159.9
209,Diacetone Alcohol,4-Hydroxy-4-methyl- pentan-2-one,15.8,8.2,10.8,124.2
210,Diallyl Amine,Diallyl-amine,15.6,4.5,6.7,124.1
211,Diallyl Ether,3-Allyloxy-propene,15.3,4.4,5.3,118.8
749,"1,1-Diallyloxyethane",3-(1-Allyloxy-ethoxy)- propene,15.4,5.1,4.8,163.3
212,Diazomethane,Diazomethane,14.7,6.1,11.3,78.1
1009,Dibasic Esters (dupont) Mix of,Pentanedioic acid,16.2,4.7,8.4,159.0
213,Dibenzyl Ether,[(Benzyloxy)methyl]- benzene,19.6,3.4,5.2,197.4
1148,Dibenzyl Sebacate,Decanedioic acid dibenzyl ester,17.8,2.2,5.5,362.1
214,"1,1-Dibromo Ethylene","1,1-Dibromo-ethene",15.1,4.8,7.0,85.3
215,Dibromo Methane,Dibromo-methane,17.8,6.4,7.0,69.8
804,o-Dibromobenzene,"1,2-Dibromo-benzene",20.7,6.5,5.3,120.0
216,"1,1-Dibromoethane","1,1-Dibromo-ethane",18.5,8.4,8.8,91.4
217,"1,2-Dibromoethylene","1,2-Dibromo-ethene",18.0,4.9,3.0,82.7
218,"2,3-Dibromoprene","2,3-Dibromo-buta-1,3- diene",17.7,11.8,6.4,103.4
1015,Dibutyl Amine,Dibutyl-amine,15.0,3.0,4.3,170.0
220,"N,N-Dibutyl Formamide","N,N-Dibutyl-formamide",15.5,8.9,6.2,182.0
1068,Dibutyl Ketone,Nonan-5-one,16.0,7.7,4.4,173.4
1146,Dibutyl Maleate,(Z)-But-2-enedioic acid,16.5,6.1,7.2,230.4
221,Dibutyl Phthalate,Phthalic acid dib utyl O ester,17.8,8.6,4.1,266.0
222,Dibutyl Sebacate,Decanedioic acid dibutyl O ester,16.7,4.5,4.1,339.0
700,"3,4-Dichloro α,α,α-Trifluorotoluen","1,2-Dichloro-4- benzene",20.0,4.7,2.4,145.5
874,"1,3-Dichloropropane","1,3-Dichloro-propane ethane",18.6,8.2,3.0,95.1
229,"2,3-Dichloro-1,3-Butadiene","2,3-Dichloro-buta-1,3- diene",17.1,2.3,2.8,104.0
206,"1,3-Dichloro-2-butene","1,3-Dichloro-but-2-ene",16.9,7.8,2.7,107.7
207,"1,4-Dichloro-2-Butene","1,4-Dichloro-but-2-ene",17.8,7.6,2.0,97.8
825,"1,3-Dichloro-2-Fluorobenzene","1,3-Dichloro-2-fluoro",19.4,9.1,2.7,117.1
739,"1,3-Dichloro-2-Propanol","1,3-Dichloro-propan-2-",17.5,9.9,14.6,95.5
824,"2,4-Dichloro-3-Fluoronitrobenzene","1,3-Dichloro-2-fluoro-4 nitro-benzene",19.9,7.2,4.2,140.0
828,"2,4-Dichloro-5-Nitrobenzotrifluorid","1,5-Dichloro-2-nitro-4-",19.9,7.6,3.7,162.0
230,Dichloroacetaldehyde,Dichloro-acetaldehyde,16.7,9.1,7.5,94.0
945,Dichloroacetic Acid,Dichloro-acetic acid,18.2,8.1,12.2,82.5
231,"1,1-Dichloroacetone","1,1-Dichloro-propan-2-",17.1,7.6,5.4,97.3
232,Dichloroacetonitrile,Dichloro-acetonitrile,17.4,9.4,6.4,80.3
233,"2,6-Dichloroanisole","1,3-Dichloro-2- CH3 methoxy-benzene",19.8,8.4,6.5,137.1
846,"2,4-Dichlorobenzaldehyde","2,4-Dichloro-",19.7,8.8,5.4,135.7
234,o-Dichlorobenzene,"1,2-Dichloro-benzene",19.2,6.3,3.3,112.8
715,p-Dichlorobenzene,"1,4-Dichloro-benzene",19.7,5.6,2.7,118.6
716,m-Dichlorobenzene,"1,3-Dichloro-benzene",19.7,5.1,2.7,114.8
826,"2,5-Dichlorobenzotrifluorid","1,4-Dichloro-2- benzene",20.0,4.7,2.4,145.5
236,Dichlorodifluoromethane (Freon 12),Dichloro-difluoro methane,12.3,2.0,0.0,92.3
237,"1,1-Dichloroethane","1,1-Dichloro-ethane",16.5,7.8,3.0,84.2
225,"N,N-Dichloromethyl Amine",Bis-chloromethyl-amine,16.8,7.6,8.0,90.8
239,"1,1-Dichloroethylene","1,1-Dichloro-ethene",16.4,5.2,2.4,79.9
224,"1,2-Dichloroethylene (cis)","(Z)-1,2-Dichloro-ethene",17.0,8.0,3.2,75.5
238,"N,N-Dichloroethyl Amine",Bis-(2-chloro-ethyl)- amine,16.8,7.6,7.7,98.3
241,Dichloromethyl Methyl Ether,Dichloro-methoxy- methane,17.1,12.9,6.5,90.5
242,Dichloromonofluoromethane (Freon 21),Dichloro-fluoro-methane,15.8,3.1,5.7,75.4
243,"2,3-Dichloronitrobenzene","1,2-Dichloro-3-nitro- benzene",19.7,12.6,4.4,132.5
801,"3,4-Dichloronitrobenzene","1,2-Dichloro-4-nitro- benzene",20.1,7.2,4.1,130.6
822,"2,4-Dichloronitrobenzene","2,4-Dichloro-1-nitro- benzene",20.4,8.7,4.2,133.4
833,"1,5-Dichloropentane","1,5-Dichloro-pentane",19.0,7.8,1.5,127.5
244,"2,5-Dichlorophenol","2,5-Dichloro-phenol",20.0,6.3,12.1,119.0
852,"2,6-Dichlorophenol","2,6-Dichloro-phenol",20.1,7.5,10.9,119.0
848,"3,4-Dichlorophenyl Acetonitrile","(3,4-Dichloro-phenyl)-",20.5,10.8,4.4,148.8
245,"1,1-Dichloropropane","1,1-Dichloro-propane",16.1,7.8,3.5,98.3
738,"2,3-Dichloropropanol","2,3-Dichloro-propan-",17.5,9.2,14.6,95.2
226,"2,3-Dichloropropene","2,3-Dichloro-propene",16.2,7.8,3.0,91.6
246,"1,1-Dichloropropene","1,1-Dichloro-propene",16.9,6.7,2.9,93.5
227,"1,2-Dichloropropene (cis)","(Z)-1,2-Dichloro- propene",17.0,8.5,2.9,93.9
247,"1,2-Dichlorotetrafluoroethane","1,2-Dichloro-1,1,2,2-",12.6,1.8,0.0,117.6
248,"3,4-Dichlorotoluene","1,2-Dichloro-4-methyl-",19.8,9.8,2.5,128.7
228,"1,2-Dichlorovinyl Ethyl Ether","1,2-Dichloro-1-ethoxy- ethene",16.9,10.5,6.0,117.8
249,Diethanolamine,2-(2-Hydroxy- ethylamino)-ethanol,17.2,10.8,21.2,95.9
777,"1,1-Diethoxy Butane","1,1-Diethoxy-butane",15.4,4.9,4.6,177.6
792,Diethoxy Disulfid,[(Ethoxydithio)oxy]etha,15.1,8.3,7.4,141.5
250,"1,1-Diethoxy Ethane","1,1-Diethoxy-ethane",15.0,3.4,4.0,143.9
791,"1,1-Diethoxy Ethane (Acetal)","1,1-Diethoxy-ethane tetrahydro-furan",15.2,5.4,5.3,142.2
251,"N,N-Diethyl Acetamide","N,N-Diethyl-acetamide",16.4,11.3,7.5,124.5
252,Diethyl Amine,Diethyl-amine,14.9,2.3,6.1,103.2
1183,Diethyl Amine/Acetic Acid,Acetate diethyl- 16.0 20.3 18.4 ammonium;,16.0,20.3,18.4,
253,p-Diethyl Benzene,"1,4-Diethyl-benzene",18.0,0.0,0.6,156.9
721,"1,2-Diethyl Benzene","1,2-Diethyl-benzene",17.7,0.1,1.0,153.5
254,Diethyl Carbonate,Carbonic acid dieth yl ester,15.1,6.3,3.5,121.0
1184,Diethyl Ethanolamine/Acetic Acid,Acetate diethyl-(2- 16.0 20.3 18.4 hydroxy-ethyl)- ammonium;,16.0,20.3,18.4,
255,Diethyl Ether,Ethoxy-ethane,14.5,2.9,5.1,104.8
256,"N,N-Diethyl Formamide","N,N-Diethyl-formamide",16.4,11.4,9.2,111.4
257,Diethyl Ketone,Pentan-3-one,15.8,7.6,4.7,106.4
979,Diethyl Malonate,Malonic acid dieth yl ester,16.1,7.7,8.3,152.5
1143,Diethyl Oxalate,Oxalic acid diethyl ester,16.2,8.0,8.8,136.6
258,Diethyl Phthalate,Phthalic acid dieth yl,17.6,9.6,4.5,198.0
259,Diethyl Sulfate,Sulfuric acid dieth yl ester,15.7,14.7,7.1,131.5
260,Diethyl Sulfid,Ethylsulfanyl-ethane,16.8,3.1,2.0,107.4
261,2-(Diethylamino) Ethanol,2-Diethylamino-ethanol,14.9,5.8,12.0,133.2
262,Diethyldisulfid,Ethyldisulfanyl-ethane,16.7,6.7,5.7,123.1
263,Diethylene Glycol,2-(2-Hydroxy-ethoxy)-,16.6,12.0,20.7,94.9
264,Diethylene Glycol Butyl Ether Acetate Commercial,Acetic acid 2-(2-butoxy-ethoxy)-ethyl ester,16.0,4.1,8.2,208.2
757,Diethylene Glycol Dib utyl Ether,1-[2-(2-Butoxy-ethoxy)-,15.8,4.7,4.4,248.1
762,Diethylene Glycol Dieth yl Ether,1-Ethoxy-2-(2-ethoxy- ethoxy)-ethane,15.8,5.9,5.6,179.8
755,Diethylene Glycol Di vinyl Ether,[2-(2-Vinyloxy-ethoxy)- ethoxy]-ethene,16.0,7.3,7.9,164.1
265,Diethylene Glycol He xyl Ether,2-(2-Hexyloxy-ethoxy)-,16.0,6.0,10.0,204.3
266,Diethylene Glycol Methyl t-Butyl,2-[2-(2-Methoxy- methyl-propane,16.0,7.2,7.2,193.9
267,Diethylene Glycol Monob utyl Ether,2-(2-Butoxy-ethoxy)-,16.0,7.0,10.6,170.6
268,Diethylene Glycol Monoeth yl Ether,2-(2-Ethoxy-ethoxy)-,16.1,9.2,12.2,130.9
269,Diethylene Glycol Monoeth yl Ether,Acetic acid 2-(2-ethoxy-,16.2,5.1,9.2,175.5
270,Diethylene Glycol Monomethyl Ether,2-(2-Methoxy-ethoxy)-,16.2,7.8,12.6,118.0
271,Diethylene Glycol Monoprop yl Ether,2-(2-Propoxy-ethoxy)- ethanol,16.0,7.2,11.3,153.9
272,Diethylenetriamine,N*1*-(2-Amino-ethyl)-,16.7,13.3,14.3,108.0
810,o-Difluorobenzen,"1,2-Difluoro-benzen",18.0,9.0,1.0,98.5
829,"2,6-Difluorobenzonitril","2,6-Difluoro",18.8,11.2,3.2,111.6
830,"3,5-Difluorobenzonitril","3,5-Difluoro",18.8,11.2,3.2,111.6
273,"1,1-Difluoroethan","1,1-Difluoro-ethan",14.9,10.2,3.0,69.5
274,"1,1-Difluoroet ylene","1,1-Difluoro-ethen",15.0,6.8,3.6,58.2
823,"2,4-Difluoronitrobenzen","2,4-Difluoro-1-nitro benzene",19.4,11.0,3.7,109.6
1069,Dihexyl Ether,1-Hexyloxy-hexane,16.0,3.0,2.8,235.8
275,Dihexyl Phthalate,Phthalic acid dihe xyl O ester,17.0,7.6,3.6,332.3
276,Dihydrogen Disulfide,,17.3,6.3,10.7,49.6
277,Dihydropyran,"3,4-Dihydro-2H-pyran",17.5,5.5,5.7,91.2
917,"1,4-Dihydroxybenzene (1,4-Benzenediol)","Benzene-1,4-diol",21.0,10.2,27.2,82.7
904,"1,2-Dihydroxybenzene (Catechol)","Benzene-1,2-diol",20.0,11.3,21.8,81.9
1140,Diisobutyl Adipate,Hexanedioic acid O diisobutyl ester,16.7,2.5,6.2,269.6
1084,Diisopropylamine,Diisopropyl-amine,14.8,1.7,3.5,141.1
283,Diketene,4-Methylene-oxetan-2- O one,16.2,15.1,8.1,75.9
763,"1,3-Dimethoxy Butane","1,3-Dimethoxy-butane",15.6,5.5,5.2,140.0
284,"1,1-Dimethoxy Ethane","1,1-Dimethoxy-ethane",15.1,4.9,4.9,106.7
889,"1,2-Dimethoxybenzene","1,2-Dimethoxy-benzene",19.2,4.4,9.4,127.7
988,"2,5-Dimethoxytetrahydrofuran","2,5-Dimethoxy- tetrahydro-furan",16.8,7.2,8.2,129.6
285,"N,N-Dimethyl Acetamide","N,N-Dimethyl-",16.8,11.5,10.2,92.5
286,Dimethyl Acetylene,But-2-yne,15.1,3.4,7.6,78.9
287,Dimethyl Amine,Dimethyl-amine,15.3,4.8,11.2,66.2
288,Dimethyl Amine-Dimer,Dimethyl-amine; compound with,15.3,4.8,7.9,132.4
289,"N,N-Dimethyl Butyramide","N,N-Dimethyl- O butyramide",16.4,10.6,7.4,127.8
290,Dimethyl Carbonate,Carbonic acid dimeth yl ester,15.5,3.9,9.7,84.2
291,Dimethyl Cellosolve,"1,2-Dimethoxy-ethane",15.4,6.0,6.0,104.5
292,Dimethyl Diethylene Glycol,1-Methoxy-2-(2- methoxy-ethoxy)-,15.8,6.1,9.2,142.0
293,Dimethyl Diketone,"Butane-2,3-dione",15.7,5.3,11.7,88.2
294,Dimethyl Disulfid,Methyldisulfanyl- methane,17.3,7.8,6.5,88.6
295,Dimethyl Ethanolamine,2-Dimethylamino- ethanol,16.1,9.2,15.3,101.1
1189,Dimethyl Ethanolamine/Acetic Acid,Acetate (2-hydroxy- 16.8 19.8 19.8 ethyl)-dimethyl-,16.8,19.8,19.8,
1188,Dimethyl Ethanolamine/Formic Acid,Formate (2-hydroxy- 17.2 21.5 22.5 ethyl)-dimethyl-,17.2,21.5,22.5,
1185,Dimethyl Ethanolamine/Methacrylic,2-Methyl-acrylate (2- 17.2 18.8 17.6 dimethyl-ammonium;,17.2,18.8,17.6,
1186,Dimethyl Ethanolamine/p-Toluene,Toluene-4-sulfonate (2- 17.2 21.5 22.5 dimethyl-ammonium;,17.2,21.5,22.5,
1187,Dimethyl Ethanolamine/Thioglycolic,Mercapto-acetate (2- 17.2 21.5 22.5 dimethyl-ammonium;,17.2,21.5,22.5,
296,Dimethyl Ether,Methoxymethane,15.2,6.1,5.7,63.2
297,Dimethyl Formamide,"N,N-Dimethyl-",17.4,13.7,11.3,77.0
298,"1,1-Dimethyl Hydrazine","N,N-Dimethyl- hydrazine",15.3,5.9,11.0,76.0
1190,Dimethyl Isopropanol Amine/Acetic,Acetate (2-hydroxy- 16.6 19.4 18.0 ammonium;,16.6,19.4,18.0,
299,Dimethyl Ketene,2-Methyl-propen-1-one,15.2,7.4,4.8,87.6
1145,Dimethyl Maleate,(Z)-But-2-enedioic acid,16.3,8.3,9.8,125.8
839,Dimethyl Methyl Phosphonate,Methyl-phosphonic acid dimethyl ester,16.7,13.1,7.5,106.9
849,"2,6-Dimethyl Phenol","2,6-Dimethyl-phenol",19.1,4.9,12.9,116.3
850,"3,4-Dimethyl Phenol","3,4-Dimethyl-phenol",19.2,6.0,13.4,121.0
300,Dimethyl Phthalate,Phthalic acid dimeth yl,18.6,10.8,4.9,163.0
782,"2,5-Dimethyl Pyrrole","2,5-Dimethyl-1H- pyrrole",18.3,7.6,6.8,101.8
1144,Dimethyl Sebacate,Decanedioic acid,16.6,2.9,6.7,233.3
1080,Dimethyl Sulfate,Sulfuric acid dimethyl ester,17.7,17.0,9.7,94.7
301,Dimethyl Sulfid,Methylsulfanyl-methane,16.1,6.4,7.4,73.2
302,Dimethyl Sulfone,Methylsulfonyl-methane,19.0,19.4,12.3,75.0
303,Dimethyl Sulfoxide,Methylsulfi yl-methane,18.4,16.4,10.2,71.3
304,"2,3-Dimethyl-1-Butene","2,3-Dimethyl-but-1-ene",14.9,1.2,2.8,125.2
952,"2,4-Dimethylaniline","2,4-Dimethyl-",19.2,5.2,8.7,123.7
942,"3,5-Dinitrophenol","3,5-Dinitro-phenol",19.5,12.9,14.4,108.2
940,"1,2-Dinitrobenzene","1,2-Dinitro-benzene",20.6,22.7,5.4,107.4
941,"3,4-Dinitrophenol","3,4-Dinitro-phenol",19.5,12.8,14.3,110.1
938,"2,4-Dinitrotoluene","1-Methyl-2,4-dinitro- benzene",20.0,13.1,4.9,137.9
1142,Dioctyl Adipate,Hexanedioic acid dioctyl,16.7,2.0,5.1,400.0
305,Dioctyl Phthalate,Phthalic acid dioctyl,16.6,7.0,3.1,377.0
306,"1,4-Dioxane","[1,4]Dioxane",19.0,1.8,7.4,85.7
307,"1,3-Dioxolane","[1,3]Dioxane",18.1,6.6,9.3,69.9
1197,Dipentene,4-Isopropenyl-1-methyl-,17.2,1.8,4.3,162.9
1166,Diphenyl Acetylene P from 0 Dipole,(Phenylethynyl)benzene,20.1,0.0,3.2,184.3
1167,Diphenyl Acetylene P from Group Cont. (Phenylethynyl)benzene,,20.1,2.0,3.2,184.3
778,Diphenyl Ether,Diphenyl ether,19.5,3.4,5.8,160.4
779,Diphenyl Sulfone,(Phenylsulfonyl)benzene,21.1,14.4,3.4,174.3
875,Diphenylamine,Diphenyl-amine,20.0,3.3,5.9,145.9
876,Diphenylmethane,Benzylbenzene,19.5,1.0,1.0,168.2
308,Dipropyl Amine,Dipropyl-amine,15.3,1.4,4.1,136.9
737,Dipropyl Ketone,Heptan-4-one,15.8,5.7,4.9,140.8
309,Dipropylene Glycol,3-(3-Hydroxy-propoxy)-,16.5,10.6,17.7,130.9
310,Dipropylene Glycol Methyl Ether,3-(3-Methoxy-propoxy)-,15.5,5.7,11.2,157.4
1007,Dipropylene Glycol Mono n-Butyl Ether 1-(2-Butoxy-1-methyl-,ethoxy)-propan-2-ol,15.7,6.5,10.0,211.2
1008,Dipropylene Glycol Mono n-Prop yl,1-(1-Methyl-2-propoxy-,15.6,6.1,11.0,185.6
311,Dipropylene Glycol Monomethyl Ether,Acetic acid 3-(3- O propyl ester,16.3,4.9,8.0,195.7
312,"2,3-Dithiabutane",Methyldisulfanyl- methane,17.3,7.8,6.5,88.6
313,Ditridecyl Phthalate,Phthalic acid ditridec yl,16.6,5.4,1.9,558.3
314,p-Divinyl Benzene,"1,4-Divinyl-benzene",18.6,1.0,7.0,142.8
315,Divinyl Sulfid,Vinylsulfanyl-ethene,16.5,4.6,5.6,93.6
316,Dodecane,Dodecane,16.0,0.0,0.0,228.6
1075,Dodecanol,Dodecan-1-ol,16.0,4.0,9.3,224.5
1180,Dopamine,"4-(2-Amino-ethyl)- benzene-1,2-diol",18.2,10.3,19.5,183.0
1177,Ecstasy,"(2-Benzo[1,3]dioxol-5- yl-1-methyl-ethyl)- methyl-amine",18.0,5.1,6.1,202.9
317,Eicosane,Icosane,16.5,0.0,0.0,359.8
318,Epichlorohydrin,2-Chloromethyl-oxirane,18.9,7.6,6.6,78.4
987,"1,2-Epoxy Butane",2-Ethyl-oxirane,15.6,8.0,4.6,87.9
320,"3,4-Epoxy-1-Butene",2-Vinyl-oxirane,16.6,7.7,7.4,80.7
319,"1,2-Epoxy-2-Propene",2-Methylene-oxirane,16.5,8.6,6.7,70.0
321,Epsilon-Caprolactam,Azepan-2-one,19.4,13.8,3.9,110.7
322,"1,2-Ethane Dithiol","Ethane-1,2-dithiol",17.9,7.2,8.7,83.9
323,Ethanesulfonylchloride,Ethanesulfonyl chloride,17.7,14.9,6.8,94.7
324,Ethanethiol (Ethyl Mercaptan),Ethanethiol,15.7,6.5,7.1,74.3
325,Ethanol,Ethanol,15.8,8.8,19.4,58.5
326,Ethanolamine,2-Amino-ethanol,17.0,15.5,21.2,59.8
1191,Ethanolamine/Acetic Acid,Acetate 2-hydroxy- 17.2 20.3 18.4 ethyl-ammonium;,17.2,20.3,18.4,
794,4-Ethoxy Acetophenone,1-(4-Ethoxy-phenyl)-,18.8,10.3,6.4,162.6
776,1-Ethoxy Ethoxy-2-Propanol,"1,3-Diethoxy-propan-2-",15.9,5.7,11.7,156.0
761,3-Ethoxy Propionaldehyde,3-Ethoxy- propionaldehyde,16.0,8.8,7.4,112.1
327,Ethoxyethyl Propionate,Propionic acid 2-ethoxy- ethyl ester,16.2,3.3,8.8,155.5
328,Ethyl Acetate,Acetic acid eth yl ester,15.8,5.3,7.2,98.5
1016,Ethyl Aceto Acetate (Keto),3-Oxo-butyric acid ethyl ester,16.5,10.8,8.3,125.6
329,Ethyl Acetylene,But-1-yne,15.1,3.4,5.0,81.5
330,Ethyl Acrylate,Acrylic acid eth yl ester,15.5,7.1,5.5,108.8
331,Ethyl Amine,Ethylamine,15.0,5.6,10.7,65.6
332,Ethyl Amyl Ketone,Octan-3-one,16.2,4.5,4.1,156.0
333,Ethyl Benzene,Ethyl-benzene,17.8,0.6,1.4,123.1
954,Ethyl Benzoate,Benzoic acid eth yl ester,17.9,6.2,6.0,144.3
334,Ethyl Bromide,Bromo-ethane,16.5,8.4,2.3,74.6
335,Ethyl Butyl K etone,Heptan-3-one,16.2,5.0,4.1,139.0
928,Ethyl Butyrate,Butyric acid eth yl ester,15.5,5.6,5.0,132.9
929,Ethyl Caproate,Hexanoic acid ethyl ester,15.5,3.2,5.9,149.6
336,Ethyl Carbamate,Carbamic acid ethyl ester,16.8,10.1,13.0,91.2
337,Ethyl Carbylamine,Isocyano-ethane,15.6,15.2,5.8,74.4
338,Ethyl Chloride,Chloro-ethane,15.7,6.1,2.9,70.0
339,Ethyl Chloroformate,Ethyl chloridocarbonate,15.5,10.0,6.7,95.6
340,Ethyl Cinnamate,(E)-3-Phenyl-acrylic O acid ethyl ester,18.4,8.2,4.1,166.8
341,2-Ethyl Croton Aldehyde,2-Ethyl-but-2-enal,16.1,8.0,5.5,115.2
1042,Ethyl Cyanoacetate,Cyano-acetic acid ethyl ester,16.7,7.9,8.3,107.1
342,Ethyl Cyanoacrylate,2-Cyano-acrylic acid,15.2,10.3,9.0,117.1
343,Ethyl Ethynylether,Ethoxy-ethyne,15.4,7.9,5.9,87.6
966,N-Ethyl Formamide,N-Ethyl-formamide,17.2,10.0,14.0,76.5
344,Ethyl Formate,Formic acid eth yl ester,15.5,8.4,8.4,80.2
346,2-Ethyl Hexyl Acetate,Acetic acid 2-eth yl-,15.8,2.9,5.1,196.0
347,2-Ethyl Hexyl Acrylate,Acrylic acid 2-eth yl- O hexyl ester,14.8,4.7,3.4,208.2
1153,Mono 2-Ethyl-Hexyl Phthalate (MEHP) Phthalic acid mono-(2-,,17.3,6.2,6.8,265.0
348,Ethyl Hypochlorite,Ethyl hypochlorite,15.7,8.6,6.5,79.5
349,Ethyl Iodide,Iodo-ethane,17.3,7.9,7.2,81.2
350,Ethyl Isocyanate,Isocyanato-ethane,15.4,12.0,2.5,78.7
351,Ethyl Isopropenyl Ether,2-Ethoxy-propene,14.8,3.5,5.1,113.3
352,Ethyl Isothiocyanate,Isothiocyanato-ethane,17.2,14.7,9.0,87.1
353,Ethyl Lactate,2-Hydroxy-propionic acid ethyl ester,16.0,7.6,12.5,115.0
354,Ethyl Methacrylate,2-Methyl-acrylic acid O ethyl ester,15.8,7.2,7.5,125.8
355,Ethyl Methyl Sulfid,Methylsulfanyl-ethane,17.1,4.8,2.5,91.2
1117,Ethyl Oleate,(Z)-Octadec-9-enoic CH3 acid ethyl ester,14.5,3.8,3.7,357.3
1010,Ethyl Propionate,Propionic acid ethyl ester,15.5,6.1,4.9,115.5
356,Ethyl Thiocyanate,Thiocyanato-ethane,15.4,13.4,5.4,87.1
357,1-Ethyl Vinyl Ethyl Ether,2-Ethoxy-but-1-ene,15.3,4.2,4.6,125.6
358,Ethyl Vinylether,Ethoxy-ethene,14.9,4.9,5.6,94.9
359,Ethyl Vinylketone,Pent-1-en-3-one,15.8,11.3,4.5,99.3
360,2-Ethyl-1-Butanol,2-Ethyl-butan-1-ol,15.8,4.3,13.5,123.2
727,2-Ethyl-1-Butene,3-Methylene-pentane,14.9,1.7,3.5,123.1
361,Ethyl-1-Propynylether,1-Ethoxy-propyne,15.9,6.4,5.4,101.6
362,"2-Ethyl-1,3-Butadiene",3-Methylene-pent-1-ene,15.3,1.6,3.8,115.2
961,N-Ethyl-2-Pyrrolidone,1-Ethyl-pyrrolidin-2-one,18.0,12.0,7.0,113.9
345,2-Ethyl-hexanol,2-Ethyl-hexan-1-ol,15.9,3.3,11.8,156.6
1058,Ethylene,Ethene,15.0,2.0,3.8,63.0
363,Ethylene Carbonate,"[1,3]Dioxolan-2-one",19.4,21.7,5.1,66.0
364,Ethylene Chlorohydrin,2-Chloro-ethanol,16.9,8.8,17.2,67.3
365,Ethylene Cyanohydrin,3-Hydroxy-propionitrile,17.2,18.8,17.6,68.3
366,Ethylene Dibromide,"1,2-Dibromo-ethane",19.2,3.5,8.6,87.0
367,Ethylene Dichloride,"1,2-Dichloro-ethane",19.0,7.4,4.1,79.4
937,Ethylene Dinitrate,"1,2-Bis-nitrooxy-ethane",16.2,13.0,4.5,101.7
368,Ethylene Glycol,"Ethane-1,2-diol",17.0,11.0,26.0,55.8
369,Ethylene Glycol Butyl Ether Acetate,Acetic acid 2-butoxy- ethyl ester,15.3,4.5,8.8,171.2
752,Ethylene Glycol Butyl Ethyl Ether,1-(2-Ethoxy-ethoxy)- butane,15.3,4.9,4.6,175.5
753,Ethylene Glycol Butyl Methyl Ether,1-(2-Methoxy-ethoxy)- butane,15.5,5.2,4.9,157.2
370,Ethylene Glycol Di-t-Butyl Ether,2-(2-tert-Butoxy- CH3 ethoxy)-2-methyl-,14.7,4.1,8.2,210.0
371,Ethylene Glycol Diacetate,Acetic acid 2-acetoxy- ethyl ester,16.2,4.7,9.8,132.8
758,Ethylene Glycol Dib utyl Ether,1-(2-Butoxy-ethoxy)-,15.7,4.5,4.2,209.5
760,Ethylene Glycol Dieth yl Ether,"1,2-Diethoxy-ethane",15.4,5.4,5.2,141.6
775,Ethylene Glycol Dimeth yl Ether,"1,2-Dimethoxy-ethane",15.4,6.3,6.0,103.9
