name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
VILIT MB 30,VILIT MB 30,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MB 30,VILIT MB 30,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VILIT MC 31,VILIT MC 31,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MC 31,VILIT MC 31,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VILIT MC 39,VILIT MC 39,,18.4,7.6,6.7,6.8,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MC 39,VILIT MC 39,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VAGD,VINYLITE VAGD,,17.1,10.4,6.5,7.5,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VAGD,VINYLITE VAGD,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VAGH,VINYLITE VAGH,,16.5,10.9,6.4,7.7,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VAGH,VINYLITE VAGH,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VMCA,VINYLITE VMCA,,17.7,11.1,6.9,8.7,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCA,VINYLITE VMCA,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VMCC,VINYLITE VMCC,,17.6,11.1,6.8,8.8,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCC,VINYLITE VMCC,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VMCH,VINYLITE VMCH,,17.6,11.1,6.4,8.6,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCH,VINYLITE VMCH,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VYHH,VINYLITE VYHH,,17.4,10.2,5.9,7.8,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYHH,VINYLITE VYHH,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VINYLITE VYLF,VINYLITE VYLF,,18.1,10.3,4.2,8.3,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYLF,VINYLITE VYLF,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AC 366,ALFTALAT AC 366,,18.6,10.0,5.0,10.4,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AC 366,Alftalat AC 366,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AM 756,ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AM 756,Alftalat AM 756,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AN 896,ALFTALAT AN 896,,22.9,15.2,7.6,18.1,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AN 896,Alftalat AN 896,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AN 950,ALFTALAT AN 950,,22.6,13.8,8.1,17.1,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AN 950,Alftalat AN 950,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AT 316,ALFTALAT AT 316,,20.5,9.3,9.1,12.4,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AT 316,Alftalat AT 316,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alftalat AT 576,ALFTALAT AT 576,,19.2,5.3,6.3,11.9,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AT 576,Alftalat AT 576,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alkydal F 261 HS,ALKYDAL F 261 HS,,23.6,1.0,7.6,19.0,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alkydal F 261 HS,Alkydal F 261 HS,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Alkydal F 41,ALKYDAL F 41,,20.6,4.6,5.5,12.6,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alkydal F 41,Alkydal F 41,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DUROFTAL T 354,DUROFTAL T 354,,17.3,4.2,7.9,9.3,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DUROFTAL T 354,DUROFTAL T 354,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DYNAPOL L 812,DYNAPOL L 812,,22.6,13.1,5.8,16.8,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNAPOL L 812,DYNAPOL L 812,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DYNAPOL L 850,DYNAPOL L 850,,20.0,6.2,7.0,9.5,Polyester & Alkyd,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNAPOL L 850,DYNAPOL L 850,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PLEXAL C-34,PLEXAL C-34,,18.5,9.21,4.91,10.64,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLEXAL C-34,PLEXAL C-34,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,18.0,11.6,8.5,9.0,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VESTURIT BL 908,VESTURIT BL 908,,18.8,12.0,6.0,11.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VESTURIT BL 908,VESTURIT BL 908,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VESTURIT BL 915,VESTURIT BL 915,,17.7,13.0,7.6,11.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VESTURIT BL 915,VESTURIT BL 915,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BE 370,BE 370,,20.7,6.1,12.7,14.8,Epoxy Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BE 370,BE 370,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BEETLE 681,BEETLE 681,,22.2,-0.4,10.1,18.4,Biological & Other,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BEETLE 681,BEETLE 681,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Cymel 300,CYMEL 300,,19.35,12.83,12.87,9.82,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Cymel 300,Cymel 300,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Cymel 325,CYMEL 325,,25.5,15.2,9.5,22.2,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Cymel 325,Cymel 325,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DYNOMIN MM 9,DYNOMIN MM 9,,18.8,14.0,12.3,10.5,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNOMIN MM 9,DYNOMIN MM 9,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DYNOMIN UM 15,DYNOMIN UM 15,,19.9,15.8,13.4,11.7,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNOMIN UM 15,DYNOMIN UM 15,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SOAMIN M 60,SOAMIN M 60,,15.9,8.1,6.5,10.6,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOAMIN M 60,SOAMIN M 60,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
SYNRESIN A 560,SYNRESIN A 560,,22.1,5.0,11.3,15.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SYNRESIN A 560,SYNRESIN A 560,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PLASTOPAL H,PLASTOPAL H,,20.81,8.29,14.96,12.69,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLASTOPAL H,PLASTOPAL H,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
UFORMITE MX-61,UFORMITE MX-61,,22.7,2.8,5.4,16.2,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,UFORMITE MX-61,UFORMITE MX-61,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
URACRON 15,URACRON 15,,19.2,7.7,5.7,10.6,Amino Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,URACRON 15,URACRON 15,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Paraloid P 400,PARALOID P 400,,19.2,9.6,9.3,12.2,Acrylic,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid P 400,Paraloid P 400,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Paraloid P 410,PARALOID P 410,,19.6,9.1,6.8,12.2,Acrylic,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid P 410,Paraloid P 410,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
Paraloid EXPER. RES. QR 954,PARALOID EXPER. RES. QR 954,,18.4,9.8,10.0,12.4,Acrylic,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid EXPER. RES. QR 954,Paraloid EXPER. RES. QR 954,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BAYSILON UD 125,BAYSILON UD 125,,19.4,9.9,10.1,6.9,Elastomer,Silicone,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BAYSILON UD 125,BAYSILON UD 125,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
TEFLON,TEFLON (SL2-),,17.1,8.1,1.3,4.7,Fluoropolymer,,permeation,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TEFLON,SL2-,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,20.3,15.4,5.3,15.1,Epoxy Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,19.5,11.6,9.3,10.0,Epoxy Resin,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,23.5,17.5,16.8,15.6,Biological & Other,Inorganic,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,Epoxy Resin,,chemical_resistance,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,17.0,12.1,10.2,4.1,Vinyl Polymer,,solubility,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,18.7,7.5,8.9,5.8,Natural & Petroleum Resin,,solubility,medium,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NITRILE 20 MIN,NITRILE 20 MIN,,17.5,7.3,6.5,5.1,Elastomer,NBR,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 20 MIN,NITRILE 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NITRILE 1 HR,NITRILE 1 HR,,16.6,9.1,4.4,10.0,Elastomer,NBR,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 1 HR,NITRILE 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NITRILE 4 HR,NITRILE 4 HR,,19.0,12.6,3.8,13.3,Elastomer,NBR,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 4 HR,NITRILE 4 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BUTYL 20 MIN,BUTYL 20 MIN,,16.5,1.0,5.1,5.0,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 20 MIN,BUTYL 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BUTYL 1 HR,BUTYL 1 HR,,15.8,-2.1,4.0,8.2,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 1 HR,BUTYL 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
BUTYL 4 HR (2),BUTYL 4 HR (2),,17.6,2.1,2.1,7.0,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 4 HR (2),BUTYL 4 HR (2),,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NATURAL RUBBER 20 MIN,NATURAL RUBBER 20 MIN,,14.5,7.3,4.5,11.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NATURAL RUBBER 1 HR,NATURAL RUBBER 1 HR,,15.6,3.4,9.1,14.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NATURAL RUBBER 4 HR,NATURAL RUBBER 4 HR,,19.4,13.2,7.7,19.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVC 20 MIN,PVC 20 MIN,,16.1,7.1,5.9,9.3,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 20 MIN,PVC 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVC 1 HR,PVC 1 HR,,14.9,11.1,3.8,13.2,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 1 HR,PVC 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
PVC 4 HR,PVC 4 HR,,24.4,4.9,9.9,22.7,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 4 HR,PVC 4 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,,11.2,12.4,13.0,12.1,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,,15.3,13.2,13.5,8.8,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,,17.2,13.6,15.4,10.9,Vinyl Polymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,,16.9,3.3,4.1,8.1,Polyolefin,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,,17.1,3.1,5.2,8.2,Polyolefin,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,,24.1,14.9,0.3,24.3,Polyolefin,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VITON 20 MIN,VITON 20 MIN,,10.9,14.5,3.1,14.1,Fluoropolymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 20 MIN,VITON 20 MIN,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VITON 1 HR,VITON 1 HR,,16.5,8.1,8.3,6.6,Fluoropolymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 1 HR,VITON 1 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
VITON 4 HR,VITON 4 HR,,13.6,15.4,8.6,14.4,Fluoropolymer,,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 4 HR,VITON 4 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NEOPRENE 20 MIN,NEOPRENE 20 MIN,,17.6,2.5,5.9,6.2,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NEOPRENE 1 HR,NEOPRENE 1 HR,,19.0,8.0,0.0,13.2,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
NEOPRENE 4 HR,NEOPRENE 4 HR,,14.6,13.9,2.3,15.9,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
CH 5100 3 HR,CH 5100 3 HR,,16.6,5.4,4.0,3.8,Elastomer,,permeation,high,0.9,1,hansen_a2,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CH 5100 3 HR,CH 5100 3 HR,,,,,hsp_polymers_8; source=a2only.pdf; OCR corrections applied (Step 0B),false
