No,Name,D,P,H,V
831,Indole 1H-Indole,19.8,7.5,6.5,110.1
426,"4-Iodo-1,2-Butadiene 4-Iodo-buta-1,2-diene",17.4,6.3,6.2,105.1
427,Iodobenzene* Iodo-benzene,19.5,6.0,6.1,114.4
1126,Iodoform Triiodo-methane,20.2,3.6,10.6,98.2
428,"Iodoprene 2-Iodo-buta-1,3-diene",17.2,2.5,6.2,104.2
754,Isoamyl Alcohol (3-Methyl-1-Butanol) 3-Methyl-butan-1-ol,15.8,5.2,13.3,109.4
433,Isobutylene Isobutene,14.5,2.0,1.5,89.4
434,"Isobutyleneoxide 2,2-Dimethyl-oxirane",16.1,4.8,5.8,90.0
1039,Isobutyric Acid Isobutyric acid,16.5,5.4,11.1,93.4
435,Isocyanic Acid Imino-methanone,15.8,10.5,13.6,37.7
436,Isooctyl Alcohol 6-Methyl-heptan-1-ol,14.4,7.3,12.9,156.6
439,"Isoprene (2-Methyl-1,3-Butadiene) 2-Methyl-buta-1,3-diene",14.7,1.4,4.1,100.9
441,Isopropyl Amine (2-Propan Amine) Isopropylamine,14.8,4.4,6.6,86.8
878,Isopropyl Benzene (Cumene) Isopropyl-benzene,18.1,1.2,1.2,139.1
442,Isopropyl Chloride (2-Chloro Propane) 2-Chloro-propane,15.9,8.3,2.1,91.7
443,Isopropyl Ether 2-Isopropoxy-propane,13.7,3.9,2.3,140.9
445,Isovaleraldehyde 3-Methyl-butyraldehyde,14.7,9.5,5.0,106.0
1040,Isovaleric Acid 3-Methyl-butyric acid,16.4,4.1,10.7,111.0
446,Isoxazole Isoxazole,18.8,13.4,11.2,64.1
447,Ketene Ethenone,15.4,7.3,5.8,53.0
980,"Maleic Anhydride Furan-2,5-dione",20.2,18.1,12.6,66.3
449,Malononitrile Malononitrile,17.7,18.4,6.7,55.5
452,Methacrylaldehyde 2-Methyl-propenal,15.7,11.1,7.4,83.3
453,Methacrylamide 2-Methyl-acrylamide,15.8,11.0,11.6,76.0
781,4-Methoxy Benzonitrile 4-Methoxy-benzonitrile,19.4,16.7,5.4,121.0
1003,3-Methoxy Butanol 3-Methoxy-butan-1-ol,15.3,5.4,13.6,113.2
459,o-Methoxyphenol (Guaiacol) 2-Methoxy-phenol,18.0,8.2,13.3,109.5
460,3-Methoxypropionitrile 3-Methoxy-propionitrile,16.6,14.4,7.8,91.1
461,2-Methyl (cis) Acrylic Acid (Z)-But-2-enoic acid,16.8,5.2,12.4,83.9
463,Methyl 1-Propenyl Ether 1-Methoxy-propene,15.0,4.3,5.7,93.5
958,N-Methyl Acetamide N-Methyl-acetamide,16.9,18.7,13.9,76.9
465,Methyl Acetylene Propyne,15.1,3.8,9.2,59.6
468,3-Methyl Allyl Alcohol But-2-en-1-ol,16.0,6.0,15.5,84.4
470,Methyl Amine Methylamine,13.0,7.3,17.3,44.4
473,Methyl Bromide Bromomethane,17.0,8.8,2.6,56.8
474,Methyl Butyl Ketone Hexan-2-one,15.3,6.1,4.1,123.6
475,Methyl Chloride Chloromethane,15.3,6.1,3.9,55.4
1030,1-Methyl Cyclohexanol 1-Methyl-cyclohexanol,17.1,6.4,12.5,123.4
1031,3-Methyl Cyclohexanol (mix) 3-Methyl-cyclohexanol,17.2,6.4,12.5,124.8
1032,4-Methyl Cyclohexanol (mix) 4-Methyl-cyclohexanol,17.2,6.3,12.5,125.5
1033,2-Methyl Cyclohexanol (mix) 2-Methyl-cyclohexanol,17.1,6.5,12.5,124.1
480,Methyl Ethyl Ether Methoxy-ethane,14.7,4.9,6.2,84.1
965,N-Methyl Formamide N-Methyl-formamide,17.4,18.8,15.9,59.1
483,Methyl Formate Formic acid methyl ester,15.3,8.4,10.2,62.2
995,2-Methylfuran 2-Methyl-furan,17.3,2.8,7.4,89.7
484,Methyl Glyoxal 2-Oxo-propionaldehyde,15.5,16.1,9.7,68.9
485,Methyl Hydrazine Methyl-hydrazine,16.2,8.7,14.8,52.7
486,Methyl Hydroperoxide Methyl-hydroperoxide,15.0,15.0,30.0,24.1
487,1-Methyl Imidazole 1-Methyl-1H-imidazole,19.7,15.6,11.2,79.5
488,Methyl Iodide Iodomethane,17.5,7.7,5.3,62.3
492,Methyl Isocyanate Isocyanatomethane,15.6,7.3,2.5,61.8
494,Methyl Isothiocyanate Isothiocyanatomethane,17.3,16.2,10.1,68.4
495,3-Methyl Isoxazole 3-Methyl-isoxazole,19.4,14.8,11.8,57.7
496,Methyl Mercaptan Methanethiol,16.6,7.7,8.6,54.1
498,Methyl n-Amyl Ketone Heptan-2-one,16.2,5.7,4.1,139.8
499,Methyl n-Propyl Ketone Pentan-2-one,16.0,7.6,4.7,106.7
500,1-Methyl Naphthalene 1-Methyl-naphthalene,20.6,0.8,4.7,138.8
501,Methyl Nitrate Nitrooxymethane,15.8,14.0,4.8,63.8
879,Methyl Phenyl Sulfid Methylsulfanyl-benzene,19.6,4.8,4.7,117.4
902,2-Methyl Pyrazine 2-Methyl-pyrazine,18.3,12.3,10.5,91.4
986,N-Methyl Pyrrolidine 1-Methyl-pyrrolidine,17.0,2.8,6.9,104.0
507,Methyl Thiocyanate Thiocyanatomethane,17.3,15.0,6.0,68.5
968,Methyl Thiocyanate Thiocyanatomethane,17.4,15.0,8.7,68.5
508,Methyl Vinyl Ether Methoxy-ethene,14.9,5.3,6.3,75.2
509,Methyl Vinyl Ketone But-3-en-2-one,15.6,12.5,5.0,81.2
510,1-Methyl Vinyl Methyl Ether 2-Methoxy-propene,14.8,4.2,5.6,96.1
511,Methyl Vinyl Sulfid Methylsulfanyl-ethene,16.4,4.9,6.0,82.1
512,Methyl Vinyl Sulfone Methylsulfonyl-ethene,16.8,19.6,4.8,87.6
462,2-Methyl-1-Butanol 2-Methyl-butan-1-ol,16.0,5.1,14.3,109.5
513,3-Methyl-1-Butene 3-Methyl-but-1-ene,14.0,1.4,3.8,112.9
514,2-Methyl-1-Butene 2-Methyl-but-1-ene,14.2,1.8,2.3,108.7
515,2-Methyl-1-Chloro Acrolein 2-Chloro-but-2-enal,17.1,10.6,7.3,91.7
1028,2-Methyl-1-Pentanol 2-Methyl-pentan-1-ol,15.8,4.9,13.5,124.0
516,2-Methyl-1-Propanol 2-Methyl-propan-1-ol,15.1,5.7,15.9,92.8
517,Methyl-1-Propynyl Ether 1-Methoxy-propyne,15.7,6.3,5.9,85.4
518,"3-Methyl-1,2-Butadiene 3-Methyl-buta-1,2-diene",15.1,2.5,4.5,99.7
519,"2-Methyl-1,3-Dioxolane 2-Methyl-[1,3]dioxolane",17.3,4.8,5.8,89.8
732,2-Methyl-2-Butanol 2-Methyl-butan-2-ol,15.3,6.1,13.3,109.6
1029,3-Methyl-2-Butanol 3-Methyl-butan-2-ol,15.6,5.2,13.4,107.7
520,2-Methyl-2-Butene 2-Methyl-but-2-ene,14.3,2.0,3.9,106.7
951,N-Methylaniline Methyl-phenyl-amine,19.5,6.0,11.5,108.4
525,Methylene Diiodide Diiodo-methane,17.8,3.9,5.5,80.5
888,"1,2-Methylenedioxybenzene Benzo[1,3]dioxole",19.0,6.7,5.9,114.8
844,"N,N,N,N-Tetramethylthiourea Tetramethyl-thiourea",17.3,6.0,10.5,132.2
529,Naphtha.High-Flash,17.9,0.7,1.8,181.8
530,Naphthalene Naphthalene,19.2,2.0,5.9,111.5
896,1-Naphthol Naphthalen-1-ol,19.7,6.3,12.3,131.7
1092,2-Nitro-1-Propanol 2-Nitro-propan-1-ol,16.1,13.7,15.4,88.8
939,3-Nitroaniline 3-Nitro-phenylamine,21.2,18.7,10.3,96.1
533,Nitroethylene Nitro-ethene,16.3,16.6,5.0,59.9
936,4-Nitrophenol 4-Nitro-phenol,20.4,20.9,15.1,93.1
535,1-Nitropropane 1-Nitro-propane,16.6,12.3,5.5,88.4
1073,Nitrosobenzene Nitroso-benzene,20.0,12.7,4.0,89.3
984,2-Nitrothiophene 2-Nitro-thiophene,19.7,16.2,8.2,94.6
1095,"1,9-Nonanediol Nonane-1,9-diol",15.7,7.0,15.1,170.5
932,1-Nonanol Nonan-1-ol,16.0,4.8,10.6,174.4
1070,1-Nonene Non-1-ene,15.4,1.0,2.2,170.5
538,Nonyl Phenol 4-Nonyl-phenol,16.5,4.1,9.2,231.0
541,Octanoic Acid Octanoic acid,15.1,3.3,8.2,159.0
542,1-Octanol* Octan-1-ol,16.0,5.0,11.9,157.7
543,2-Octanol Octan-2-ol,16.1,4.9,11.0,159.1
544,1-Octene Oct-1-ene,15.3,1.0,2.4,158.0
1065,Octyl Acetate Acetic acid octyl ester,15.8,2.9,5.1,196.0
546,Oleyl Alcohol (Z)-Octadec-9-en-1-ol,14.3,2.6,8.0,316.0
1156,Oxalic Acid Oxalic acid,17.0,14.3,22.0,47.4
547,Oxalylchloride Oxalyl dichloride,16.1,3.8,7.5,85.8
1026,Oxetane (Trimethylene Oxide) Oxetane,18.0,9.1,5.4,65.0
548,"1,3-Pentadiene (Trans) (E)-Penta-1,3-diene",14.7,2.5,5.0,101.7
549,Pentamethylene Sulfid Tetrahydro-thiopyran,18.5,6.3,8.9,103.6
1061,Pentanal (Valeraldehyde) Pentanal,15.7,9.4,5.8,106.4
1023,Pentanoic Acid Pentanoic acid,15.0,4.1,10.3,109.2
733,2-Pentanol Pentan-2-ol,15.6,6.4,13.3,109.6
553,4-Pentenal Pent-4-enal,15.5,8.1,6.8,98.7
554,1-Pentene Pent-1-ene,13.9,1.4,3.8,110.4
880,Phenetole (Ethyl Phenyl Ether) Ethoxy-benzene,18.4,4.5,4.0,127.3
559,Phenol Phenol,18.0,5.9,14.9,87.5
560,2-Phenoxy Ethanol 2-Phenoxy-ethanol,17.8,5.7,14.3,124.7
881,Phenyl Acetate Acetic acid phenyl ester,19.8,5.2,6.4,126.9
851,Phenyl Acetonitrile Phenyl-acetonitrile,19.5,12.3,3.8,114.9
1168,Phenyl Acetylene Ethynyl-benzene,18.8,2.8,4.0,109.1
1074,2-Phenyl Ethanol 2-Phenyl-ethanol,19.0,5.8,12.8,120.0
1047,Phenylhydrazine Phenyl-hydrazine,20.4,6.5,14.0,98.5
562,Phosgene Carbonyl dichloride,16.4,5.3,5.3,71.7
1216,Phosphoric Acid Phosphoric acid,14.7,18.6,26.8,52.8
564,"Phthalic Anhydride Isobenzofuran-1,3-dione",20.6,20.1,10.1,96.8
1089,"Picric Acid (2,4,6-Trinitrophenol) Picric acid",19.2,7.0,6.0,130.0
565,Pine Oil,15.6,3.0,9.8,155.0
1052,Piperazine Piperazine,18.1,5.6,8.0,97.9
1050,Piperidine Piperidine,17.6,4.5,8.9,98.9
566,"1,2-Propadiene (Allene) Propa-1,2-diene",15.3,3.0,6.8,60.1
1038,"1,3-Propanediol (Trimethyleneglycol) Propane-1,3-diol",16.8,13.5,23.2,72.5
567,2-Propanethiol Propane-2-thiol,16.3,6.8,6.5,94.1
568,1-Propanethiol Propane-1-thiol,16.1,5.8,5.7,90.5
571,Propargylaldehyde Propynal,16.2,11.9,8.7,60.0
572,beta-Propiolactone Oxetan-2-one,19.7,18.2,10.3,65.5
1062,Propionaldehyde* Propionaldehyde,15.3,11.1,6.9,73.4
574,"Propionaldehyde-2,3-Epoxy* Oxirane-2-carbaldehyde",17.5,13.4,9.8,63.2
575,Propionamide Propionamide,16.7,9.8,11.5,78.9
576,Propionic Acid Propionic acid,14.7,5.3,12.4,75.0
1043,Propionic Anhydride Propanoic anhydride,16.2,10.0,8.7,129.4
577,Propionitrile Propionitrile,15.3,14.3,5.5,70.9
578,Propionylchloride Propionyl chloride,16.1,10.3,5.3,86.9
579,n-Propyl Acetate Acetic acid propyl ester,15.3,4.3,7.6,115.3
580,Propyl Amine Propylamine,16.9,4.9,8.6,83.0
581,Propyl Chloride 1-Chloro-propane,16.0,7.8,2.0,88.1
926,Propyl Formate Formic acid propyl ester,15.5,7.1,8.6,97.9
935,n-Propyl Nitrate 1-Nitrooxy-propane,15.8,11.3,4.1,99.7
583,Propylene Propene,15.1,1.6,1.5,68.8
746,Propylene Chlorohydrin 1-Chloro-propan-2-ol,16.8,9.8,15.3,85.4
587,Propylene Glycol Monobutyl Ether 1-Butoxy-propan-2-ol,15.3,4.5,9.2,132.0
588,Propylene Glycol Monoethyl Ether 1-Ethoxy-propan-2-ol,15.7,6.5,10.5,115.6
590,Propylene Glycol Monoisobutyl Ether 1-Isobutoxy-propan-2-ol,15.1,4.7,9.8,132.2
593,Propylene Glycol Monophenyl Ether 1-Phenoxy-propan-2-ol,17.4,5.3,11.5,143.2
594,Propylene Glycol Monopropyl Ether 1-Propoxy-propan-2-ol,15.8,7.0,9.2,130.3
1086,Propylene Imine (2-Methyl Aziridine) 2-Methyl-aziridine,18.1,8.4,6.5,71.2
595,Propylene Oxide 2-Methyl-oxirane,15.2,8.6,6.7,67.6
1091,2-Propyn-1-ol Prop-2-yn-1-ol,16.1,8.8,19.1,57.7
596,Propynonitrile Propynenitrile,15.5,17.0,6.3,62.5
985,Pyrazole 1H-Pyrazole,20.2,10.4,12.4,68.1
597,Pyridazine Pyridazine,20.2,17.4,11.7,72.6
901,"Pyrogallol (1,2,3-Trihydroxybenzene) Benzene-1,2,3-triol",20.7,10.7,21.1,87.0
600,Pyrrole 1H-Pyrrole,19.2,7.4,6.7,69.2
1051,Pyrrolidine Pyrrolidine,17.9,6.5,7.4,83.5
601,Pyruvonitrile 2-Oxo-propionitrile,15.9,18.9,8.0,70.9
602,Quinoline Quinoline,19.8,5.6,5.7,118.0
1204,Salicylic Acid 2-Hydroxy-benzoic acid,19.4,10.1,17.4,95.7
1225,Sebacic Acid Decanedioic acid,17.1,7.1,11.7,167.6
832,Skatole 3-Methyl-1H-indole,20.0,7.1,6.2,122.6
603,Stearic Acid Octadecanoic acid,16.3,3.3,5.5,326.0
1014,Styrene Oxide (Phenyl Oxirane) 2-Phenyl-oxirane,19.4,5.8,6.6,114.2
605,Succinaldehyde (Butanedial) Succinaldehyde,16.8,9.8,10.5,81.2
606,"Succinic Anhydride Dihydro-furan-2,5-dione",18.6,19.2,16.6,66.8
607,Succinonitrile Succinonitrile,17.9,16.2,7.9,81.2
610,Sulfur Dioxide Oxosulfane oxide,15.8,8.4,10.0,44.0
897,Terephthalic Acid Terephthalic acid,18.8,6.1,10.7,166.0
1011,1-Tetradecene Tetradec-1-ene,16.1,0.5,1.9,253.4
616,Tetraethylorthosilicate,13.9,4.3,0.6,224.0
619,Tetrahydropyran Tetrahydro-pyran,16.4,6.3,6.0,97.8
620,Tetrahydrothiapyran Tetrahydro-thiopyran,18.5,6.3,8.9,103.6
622,Tetramethylene Sulfid Tetrahydro-thiophene,18.6,6.7,9.1,88.3
933,Tetranitromethane Tetranitro-methane,15.5,9.9,7.5,119.7
625,2-Thiabutane Methylsulfanyl-ethane,16.2,5.9,5.3,90.4
626,Thiacyclopropane Thiirane,19.3,9.1,5.0,58.0
627,Thiazole* Thiazole,20.5,18.8,10.8,70.9
628,Thioacetamide Thioacetamide,17.5,20.6,20.2,75.0
629,Thioacetic Acid Thioacetic acid,17.0,6.7,8.9,71.5
630,Gamma-Thiobutyrolactone Dihydro-thiophen-2-one,19.0,6.9,6.2,86.6
631,Thiocyanic Acid Thiocyanic acid,16.8,8.9,10.9,51.7
632,Thionyl Chloride Thionyl dichloride,16.9,6.2,5.9,79.0
633,Thiophene Thiophene,18.9,2.4,7.8,79.0
703,Thiophenol Benzenethiol,20.0,4.5,10.3,102.4
634,Thiourea Thiourea,20.0,21.7,14.8,72.8
635,"1,4-Thioxane [1,4]Oxathiane",19.0,6.6,7.7,93.5
636,Tigaldehyde (E)-2-Methyl-but-2-enal,16.2,12.9,6.8,96.6
953,2-Toluidine o-Tolylamine,19.4,5.8,9.4,107.8
1020,Tri-n-Butyl Borate Tri-n-butyl borate,16.7,1.8,4.6,269.7
639,"1,2,3-Triazole 1H-[1,2,3]Triazole",20.7,8.8,15.0,58.2
1118,"2,4,6-Tribromo Phenol 2,4,6-Tribromo-phenol",20.6,10.2,14.1,129.7
640,"Tribromo Ethylene* 1,1,2-Tribromo-ethene",18.3,9.4,8.0,97.8
642,"3,3,3-Trichloro Propene 3,3,3-Trichloro-propene",17.7,15.5,3.4,106.2
643,"1,1,2-Trichloro Propene 1,1,2-Trichloro-propene",17.7,15.7,3.4,104.8
644,"1,2,3-Trichloro Propene 1,2,3-Trichloro-propene",17.8,15.7,3.4,105.0
981,Trichloro-Methyl-Silane Trichloro-methyl-silane,16.5,6.6,3.5,117.4
861,Trichloroacetic Acid Trichloro-acetic acid,18.3,5.8,11.4,100.2
645,Trichloroacetonitrile Trichloro-acetonitrile,16.4,7.4,6.1,100.0
701,"1,2,4-Trichlorobenzene* 1,2,4-Trichloro-benzene",20.2,6.0,3.2,125.5
648,"1,1,2-Trichloroethane 1,1,2-Trichloro-ethane",18.2,5.3,6.8,92.9
702,"2,4,6-Trichlorophenol 2,4,6-Trichloro-phenol",20.3,5.1,10.8,132.5
883,"1,2,3-Trichloropropane 1,2,3-Trichloro-propane",17.8,12.3,3.4,106.1
1174,Trichlorosilane,14.2,3.6,3.8,101.1
654,Tridecyl Alcohol* Tridecan-1-ol,16.2,3.1,9.0,242.0
944,"2,2,2-Trifluoro Ethano 2,2,2-Trifluoro-ethano",15.4,8.3,16.4,72.3
660,Trifluoroacetic Aci Trifluoro-acetic acid,15.6,9.9,11.6,74.2
662,Trifluoromethane (Freon 23 Trifluoro-methan,14.4,8.9,6.5,46.1
665,Trimethyl Amine Trimethyl-amine,14.6,3.4,1.8,90.3
667,"Trimethylbenzene* 1,2,4-Trimethyl-benzene",18.0,1.0,1.0,137.3
669,Trimethylenesulfid Thietane,18.8,7.8,9.4,72.8
934,Trinitomethane Trinitro-methane,15.5,10.3,7.3,94.6
855,"1,3,5-Trioxane [1,3,5]Trioxane",18.7,9.2,8.6,77.0
673,Valeronitrile Pentanenitrile,15.3,11.0,4.8,103.8
676,Vinyl Acetate Acetic acid vinyl ester,16.0,7.2,5.9,92.6
677,Vinyl Acetic Acid But-3-enoic acid,16.8,5.2,12.3,85.3
678,Vinyl Acetylene But-1-en-3-yne,15.1,1.7,12.0,74.3
679,Vinyl Allyl Ether 3-Vinyloxy-propene,14.9,6.5,5.3,105.4
742,Vinyl Amine Vinylamine,15.7,7.2,11.8,51.8
680,Vinyl Bromide Bromo-ethene,15.9,6.3,5.4,71.6
964,Vinyl Butyl Ether 1-Vinyloxy-butane,15.2,4.1,5.1,129.4
681,Vinyl Butyl Sulfid 1-Vinylsulfanyl-butane,16.0,5.0,5.4,136.7
682,Vinyl Butyrate Butyric acid vinyl ester,15.6,3.9,6.9,126.5
683,Vinyl Chloride Chloro-ethene,16.0,6.5,2.4,68.7
685,Vinyl Ether Vinyloxy-ethene,14.8,4.2,5.8,90.7
1024,Vinyl Ethyl Ether Ethoxy-ethene,14.5,4.9,6.0,95.0
686,Vinyl Ethyl Sulfid Ethylsulfanyl-ethene,16.4,5.8,6.3,101.3
687,Vinyl Formate Formic acid vinyl ester,15.3,6.5,9.7,74.7
688,Vinyl Iodide (Iodoethene) Iodo-ethene,17.1,5.5,7.3,75.6
910,Vinyl Isopropyl Ether 2-Vinyloxy-propane,14.7,3.5,5.2,115.3
690,Vinyl Propyl Ether 1-Vinyloxy-propane,14.9,3.5,5.2,113.0
843,4-Vinyl Pyridine 4-Vinyl-pyridine,18.1,7.2,6.8,107.3
691,Vinyl Pyrrolidone 1-Vinyl-pyrrolidin-2-one,16.4,9.3,5.9,106.9
692,Vinyl Silane Vinyl-silane,15.5,2.6,4.0,89.4
694,Vinyl Trimethyl Silane Trimethyl-vinyl-silane,14.5,1.0,2.5,145.3
695,"Vinylenecarbonate [1,3]Dioxol-2-one",17.3,18.1,9.6,86.0
696,Water Water,15.5,16.0,42.3,18.0
859,Water - 1% in Ro = 18.1 Water,15.1,20.4,16.5,18.0
698,o-Xylene o-Xylene,17.8,1.0,3.1,121.2
